,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,2
5,600,4
6,700,6
7,800,8
8,900,7
9,1000,8
10,1100,10
11,1200,15
12,1300,12
13,1400,12
14,1500,14
15,1600,13
16,1700,17
17,1800,17
18,1900,11
19,2000,9
20,2100,5
21,2200,5
22,2300,8
23,2400,17
24,2500,12
25,2600,11
26,2700,12
27,2800,10
28,2900,10
29,3000,16
30,3100,12
31,3200,15
32,3300,18
33,3400,24
34,3500,22
35,3600,16
36,3700,13
37,3800,15
38,3900,11
39,4000,12
40,4100,14
41,4200,22
42,4300,13
43,4400,13
44,4500,10
45,4600,15
46,4700,21
47,4800,17
48,4900,13
49,5000,16
50,5100,10
51,5200,6
52,5300,13
53,5400,21
54,5500,22
55,5600,20
56,5700,16
57,5800,11
58,5900,8
59,6000,14
60,6100,20
61,6200,17
62,6300,14
63,6400,6
64,6500,4
65,6600,9
66,6700,11
67,6800,18
68,6900,19
69,7000,16
70,7100,9
71,7200,9
72,7300,15
73,7400,13
74,7500,15
75,7600,10
76,7700,8
77,7800,10
78,7900,11
79,8000,11
80,8100,15
81,8200,15
82,8300,18
83,8400,17
84,8500,6
85,8600,6
86,8700,5
87,8800,9
88,8900,6
89,9000,8
90,9100,10
91,9200,13
92,9300,15
93,9400,14
94,9500,11
95,9600,15
96,9700,12
97,9800,13
98,9900,18
99,10000,17
100,10100,10
101,10200,5
102,10300,7
103,10400,15
104,10500,19
105,10600,17
106,10700,17
107,10800,16
108,10900,5
109,11000,7
110,11100,8
111,11200,11
112,11300,16
113,11400,14
114,11500,13
115,11600,14
116,11700,13
117,11800,11
118,11900,9
119,12000,10
120,12100,13
121,12200,7
122,12300,11
123,12400,12
124,12500,16
125,12600,16
126,12700,16
127,12800,18
128,12900,13
129,13000,11
130,13100,17
131,13200,19
132,13300,24
133,13400,23
134,13500,27
135,13600,20
136,13700,16
137,13800,15
138,13900,17
139,14000,16
140,14100,29
141,14200,28
142,14300,25
143,14400,23
144,14500,19
145,14600,15
146,14700,12
147,14800,17
148,14900,18
149,15000,17
150,15100,19
151,15200,19
152,15300,16
153,15400,11
154,15500,11
155,15600,11
156,15700,16
157,15800,22
158,15900,21
159,16000,25
160,16100,20
161,16200,17
162,16300,15
163,16400,14
164,16500,13
165,16600,9
166,16700,15
167,16800,13
168,16900,14
169,17000,15
170,17100,13
171,17200,14
172,17300,8
173,17400,12
174,17500,15
175,17600,21
176,17700,27
177,17800,24
178,17900,23
179,18000,22
180,18100,21
181,18200,17
182,18300,18
183,18400,15
184,18500,12
185,18600,12
186,18700,15
187,18800,18
188,18900,20
189,19000,17
190,19100,14
191,19200,15
192,19300,16
193,19400,20
194,19500,17
195,19600,12
196,19700,16
197,19800,21
198,19900,21
199,20000,18
200,20100,10
201,20200,9
202,20300,8
203,20400,10
204,20500,19
205,20600,25
206,20700,23
207,20800,11
208,20900,9
209,21000,7
210,21100,4
211,21200,6
212,21300,12
213,21400,15
214,21500,11
215,21600,15
216,21700,14
217,21800,16
218,21900,8
219,22000,12
220,22100,13
221,22200,12
222,22300,18
223,22400,20
224,22500,15
225,22600,11
226,22700,7
227,22800,11
228,22900,16
229,23000,19
230,23100,21
231,23200,21
232,23300,21
233,23400,16
234,23500,17
235,23600,20
236,23700,22
237,23800,18
238,23900,17
239,24000,21
240,24100,15
241,24200,12
242,24300,17
243,24400,18
244,24500,17
245,24600,12
246,24700,15
247,24800,6
248,24900,8
249,25000,10
250,25100,14
251,25200,12
252,25300,9
253,25400,8
254,25500,10
255,25600,14
256,25700,13
257,25800,17
258,25900,11
259,26000,16
260,26100,16
261,26200,20
262,26300,20
263,26400,16
264,26500,10
265,26600,12
266,26700,20
267,26800,23
268,26900,19
269,27000,13
270,27100,14
