,step_history,queue_history
0,100,0
1,200,0
2,300,0
3,400,1
4,500,1
5,600,5
6,700,8
7,800,6
8,900,10
9,1000,9
10,1100,13
11,1200,10
12,1300,16
13,1400,18
14,1500,22
15,1600,24
16,1700,27
17,1800,27
18,1900,27
19,2000,28
20,2100,30
21,2200,37
22,2300,39
23,2400,37
24,2500,28
25,2600,25
26,2700,18
27,2800,24
28,2900,25
29,3000,21
30,3100,19
31,3200,24
32,3300,28
33,3400,33
34,3500,28
35,3600,28
36,3700,29
37,3800,35
38,3900,37
39,4000,41
40,4100,44
41,4200,45
42,4300,39
43,4400,41
44,4500,37
45,4600,40
46,4700,42
47,4800,44
48,4900,35
49,5000,32
50,5100,21
51,5200,24
52,5300,29
53,5400,30
54,5500,27
55,5600,31
56,5700,32
57,5800,29
58,5900,29
59,6000,33
60,6100,35
61,6200,31
62,6300,32
63,6400,35
64,6500,40
65,6600,41
66,6700,38
67,6800,40
68,6900,39
69,7000,41
70,7100,40
71,7200,42
72,7300,27
73,7400,22
74,7500,15
75,7600,17
76,7700,21
77,7800,24
78,7900,27
79,8000,38
80,8100,42
81,8200,35
82,8300,39
83,8400,35
84,8500,36
85,8600,37
86,8700,37
87,8800,42
88,8900,45
89,9000,46
90,9100,40
91,9200,40
92,9300,38
93,9400,38
94,9500,38
95,9600,42
96,9700,33
97,9800,32
98,9900,23
99,10000,24
100,10100,28
101,10200,30
102,10300,33
103,10400,35
104,10500,40
105,10600,35
106,10700,34
107,10800,36
108,10900,36
109,11000,33
110,11100,38
111,11200,43
112,11300,45
113,11400,44
114,11500,39
115,11600,47
116,11700,43
117,11800,39
118,11900,42
119,12000,44
120,12100,36
121,12200,38
122,12300,27
123,12400,30
124,12500,29
125,12600,32
126,12700,37
127,12800,39
128,12900,41
129,13000,38
130,13100,41
131,13200,36
132,13300,37
133,13400,37
134,13500,43
135,13600,44
136,13700,50
137,13800,52
138,13900,47
139,14000,43
140,14100,42
141,14200,36
142,14300,38
143,14400,44
144,14500,35
145,14600,34
146,14700,29
147,14800,30
148,14900,30
149,15000,34
150,15100,34
151,15200,37
152,15300,36
153,15400,37
154,15500,44
155,15600,40
156,15700,41
157,15800,39
158,15900,44
159,16000,49
160,16100,57
161,16200,57
162,16300,52
163,16400,46
164,16500,41
165,16600,41
166,16700,45
167,16800,44
168,16900,35
169,17000,28
170,17100,22
171,17200,36
172,17300,38
173,17400,37
174,17500,33
175,17600,43
176,17700,42
177,17800,39
178,17900,45
179,18000,43
180,18100,46
181,18200,45
182,18300,46
183,18400,51
184,18500,56
185,18600,59
186,18700,57
187,18800,52
188,18900,46
189,19000,44
190,19100,48
191,19200,51
192,19300,41
193,19400,40
194,19500,30
195,19600,34
196,19700,30
197,19800,33
198,19900,32
199,20000,35
200,20100,37
201,20200,35
202,20300,38
203,20400,34
204,20500,37
205,20600,34
206,20700,36
207,20800,46
208,20900,49
209,21000,48
210,21100,46
211,21200,44
212,21300,39
213,21400,42
214,21500,43
215,21600,44
216,21700,36
217,21800,32
218,21900,22
219,22000,21
220,22100,27
221,22200,31
222,22300,36
223,22400,42
224,22500,34
225,22600,34
226,22700,39
227,22800,41
228,22900,44
229,23000,46
230,23100,47
231,23200,53
232,23300,60
233,23400,59
234,23500,54
235,23600,56
236,23700,50
237,23800,45
238,23900,49
239,24000,52
240,24100,44
241,24200,42
242,24300,32
243,24400,33
244,24500,32
245,24600,35
246,24700,35
247,24800,41
248,24900,42
249,25000,42
250,25100,43
251,25200,41
252,25300,42
253,25400,39
254,25500,42
255,25600,43
256,25700,46
257,25800,45
258,25900,42
259,26000,45
260,26100,40
261,26200,41
262,26300,45
263,26400,44
264,26500,36
265,26600,35
266,26700,27
267,26800,28
268,26900,29
269,27000,37
270,27100,41
