,step_history,emissions_history
0,100,18.569412310426
1,200,53.71799038042508
2,300,88.59583747247348
3,400,104.96646289376072
4,500,115.24287822722476
5,600,137.4651647877136
6,700,127.17180273404466
7,800,135.06765849684845
8,900,169.84708942157692
9,1000,166.3889240702817
10,1100,149.95052945211233
11,1200,208.21247449122998
12,1300,181.51420642517436
13,1400,150.89682401460965
14,1500,157.36839902860814
15,1600,216.70942357862705
16,1700,189.42200674775813
17,1800,203.96190152509803
18,1900,227.46359018154445
19,2000,229.0740696216888
20,2100,279.5440558819269
21,2200,253.36490165293435
22,2300,169.08147433137034
23,2400,199.25527732398723
24,2500,200.11373914874488
25,2600,284.1794937768011
26,2700,239.13360342693503
27,2800,336.0237123412065
28,2900,265.70836436646107
29,3000,301.1823247992003
30,3100,221.65491830099532
31,3200,306.32628103864363
32,3300,182.27990653398982
33,3400,188.45439503393987
34,3500,214.88589159003394
35,3600,374.04507430606935
36,3700,389.57183853757147
37,3800,348.1584625362102
38,3900,326.236830102578
39,4000,292.19741609331373
40,4100,209.38011756628939
41,4200,224.5570418691306
42,4300,333.9425113972918
43,4400,291.5974538309956
44,4500,288.78489528140693
45,4600,255.03026036698083
46,4700,203.2620289029118
47,4800,217.83481350166252
48,4900,178.2029783464631
49,5000,163.1516516869692
50,5100,251.92258117492014
51,5200,329.38361879731804
52,5300,184.8454704553017
53,5400,187.70564358474272
54,5500,225.1966442519789
55,5600,254.9891518688966
56,5700,307.6420629219478
57,5800,268.75494712762696
58,5900,391.7617714749284
59,6000,234.29961864791582
60,6100,164.00895862373943
61,6200,216.37177255853334
62,6300,244.30021538071693
63,6400,272.2111885201869
64,6500,324.0066141271583
65,6600,282.4122928378441
66,6700,208.42775476389752
67,6800,144.44056078610802
68,6900,138.27026358084157
69,7000,212.36792829716342
70,7100,193.75613288757518
71,7200,176.82652270687035
72,7300,213.73455513141923
73,7400,135.14904747602878
74,7500,223.21869610952422
75,7600,248.56602144087407
76,7700,262.2305994286612
77,7800,190.57737707809468
78,7900,268.77083385897777
79,8000,219.4012894531697
80,8100,327.66418842751875
81,8200,261.6556936605863
82,8300,155.1551193606175
83,8400,247.2555757035888
84,8500,252.37193566370976
85,8600,210.79327737994382
86,8700,151.74806080194801
87,8800,223.00525717964157
88,8900,278.85706747295467
89,9000,247.5981276552008
90,9100,211.85015921639103
91,9200,166.85617160485634
92,9300,220.5065668749764
93,9400,280.1997729112481
94,9500,188.72645192176546
95,9600,165.20525920038855
96,9700,207.5268301722099
97,9800,243.99311971955618
98,9900,173.6329847579385
99,10000,184.21981244445655
100,10100,253.11561032168137
101,10200,316.5931800319344
102,10300,301.18556264640006
103,10400,182.35580177518176
104,10500,158.90169717624298
105,10600,181.8752827814705
106,10700,212.3053625979146
107,10800,247.99592781062208
108,10900,282.17239033840355
109,11000,368.49230567869193
110,11100,217.9727973886704
111,11200,156.56089812063172
112,11300,163.72369230747884
113,11400,210.03284134495442
114,11500,246.08917201926107
115,11600,246.2639570646242
116,11700,207.52776267639666
117,11800,263.4906915096789
118,11900,265.61720489296584
119,12000,206.3627539820741
120,12100,184.868274448658
121,12200,225.7371208057652
122,12300,273.41752178524615
123,12400,252.4008823726281
124,12500,217.72108104775265
125,12600,206.6719338036382
126,12700,262.31302567577825
127,12800,255.6228767968501
128,12900,263.68388984830585
129,13000,334.2263655342751
130,13100,186.3320053437649
131,13200,230.54953237708835
132,13300,267.89480336337704
133,13400,235.4162983254544
134,13500,271.2844416244223
135,13600,299.6485982988457
136,13700,302.16868076271936
137,13800,371.57976878891003
138,13900,268.00253266248586
139,14000,271.8662610229055
140,14100,254.65501370283567
141,14200,284.43470427987273
142,14300,281.68818641482557
143,14400,343.27911552901077
144,14500,404.7087292207099
145,14600,324.9412488591784
146,14700,295.14836642874707
147,14800,287.97527782847436
148,14900,237.74243624985192
149,15000,268.9195971740363
150,15100,287.0683447592703
151,15200,240.315077135491
152,15300,305.36315201042305
153,15400,261.2089629176754
154,15500,312.91453442004286
155,15600,256.5664007210339
156,15700,160.20554251774806
157,15800,138.42238830668873
158,15900,203.78666531304492
159,16000,240.74774665578448
160,16100,275.8407003104731
161,16200,249.27624606259963
162,16300,316.3585575488971
163,16400,358.8081972945451
164,16500,268.4452430600927
165,16600,291.9491120304952
166,16700,271.3699602277654
167,16800,249.314693228001
168,16900,237.8160590193591
169,17000,282.2956846612771
170,17100,301.20387004365307
171,17200,348.09550958936285
172,17300,305.93619606345777
173,17400,310.3491977278052
174,17500,328.3777143605511
175,17600,219.50896964905982
176,17700,269.77308003018976
177,17800,324.8662840484991
178,17900,403.25169479505166
179,18000,285.1029254316221
180,18100,293.65219479525643
181,18200,276.7536159006686
182,18300,319.228221509859
183,18400,329.5927412612442
184,18500,312.0266892708625
