,step_history,emissions_history
0,100,18.569412310426
1,200,53.71799038042508
2,300,106.17235867559303
3,400,106.16444590012217
4,500,111.72637928989646
5,600,137.50106134399803
6,700,140.82931034055414
7,800,144.11774754627552
8,900,134.72337000751614
9,1000,135.3366848502108
10,1100,140.58572570251042
11,1200,165.42447844765832
12,1300,177.5515257948474
13,1400,191.47218502470153
14,1500,100.58126623472411
15,1600,135.17452388622468
16,1700,142.0472808637325
17,1800,137.69792999597945
18,1900,153.7922540298158
19,2000,198.81814568822645
20,2100,254.80350710541987
21,2200,176.8468799126379
22,2300,184.55989154012775
23,2400,172.91096474960443
24,2500,244.93748416466036
25,2600,423.30940330876626
26,2700,454.47306071875465
27,2800,206.95306007338834
28,2900,289.9526053461379
29,3000,348.3931365174532
30,3100,332.77533593001795
31,3200,300.351073611787
32,3300,395.0239495764372
33,3400,378.2592249792247
34,3500,347.02490606620154
35,3600,249.91466338474092
36,3700,243.57309008434487
37,3800,244.2425045728471
38,3900,218.2822871702998
39,4000,215.6956725636096
40,4100,170.7512994697288
41,4200,150.62675244732006
42,4300,201.98335456803028
43,4400,318.44057874220283
44,4500,232.33548280684556
45,4600,209.69638044468917
46,4700,188.4502610140037
47,4800,159.39799054889946
48,4900,243.23800281694466
49,5000,468.45495825070753
50,5100,361.32572673972305
51,5200,284.7728673269641
52,5300,248.88696119392114
53,5400,310.0567979786238
54,5500,350.8067501814095
55,5600,456.1152633392986
56,5700,311.1066496952058
57,5800,321.7004715464874
58,5900,386.5175556232631
59,6000,247.3561559225882
60,6100,241.72775415042616
61,6200,194.38640891508575
62,6300,163.79706960356248
63,6400,189.09102244972394
64,6500,210.62134291443428
65,6600,195.7525688351903
66,6700,238.53662319004275
67,6800,280.402458785328
68,6900,281.6464186047156
69,7000,229.149091443969
70,7100,154.71159183649263
71,7200,140.1242913970703
72,7300,236.43329846147103
73,7400,285.72068060560395
74,7500,295.6143383496261
75,7600,240.9033591629095
76,7700,252.91982975074473
77,7800,293.9510928687041
78,7900,185.28064220989944
79,8000,261.56512373729504
80,8100,394.2388224452053
81,8200,419.9427372366787
82,8300,275.18671208094366
83,8400,143.09807478197445
84,8500,195.6823239468031
85,8600,233.5105175685624
86,8700,173.96190910489113
87,8800,183.29917368538628
88,8900,209.6508929599916
89,9000,196.3175817452865
90,9100,185.6782616109545
91,9200,213.71176734413984
92,9300,173.98780903909503
93,9400,168.36313442163745
94,9500,163.16417770774908
95,9600,115.85173122652294
96,9700,231.17093846593596
97,9800,359.7723284772058
98,9900,330.87151330493344
99,10000,263.862541431472
100,10100,304.82951069648914
101,10200,214.50314862881217
102,10300,268.63111508620045
103,10400,298.7644336934776
104,10500,284.05000437784366
105,10600,239.89752267159076
106,10700,295.26541810580727
107,10800,206.9929712203054
108,10900,217.1580034851281
109,11000,244.65797287532004
110,11100,180.90213699297632
111,11200,153.2574607749257
112,11300,187.65334053446705
113,11400,166.2017948978633
114,11500,164.48891220103806
115,11600,236.86654275773023
116,11700,287.75465908744366
117,11800,266.8786473235455
118,11900,224.85175324952243
119,12000,203.87905804889706
120,12100,254.80821797592495
121,12200,432.8450768803364
122,12300,389.1426783023803
123,12400,289.47488486366325
124,12500,268.95725130111805
125,12600,324.836883459728
126,12700,365.5597583336319
127,12800,332.60146788369866
128,12900,360.1166182752358
129,13000,314.86048628561235
130,13100,288.9096323498896
131,13200,327.43585752809105
132,13300,295.7203094121262
133,13400,276.0881768792404
134,13500,215.90542498430122
135,13600,199.2074117739459
136,13700,207.78843112759006
137,13800,226.5928998404038
138,13900,249.14621321744863
139,14000,311.7561681059379
140,14100,408.6285416511627
141,14200,279.72207706345796
142,14300,253.1388704213427
143,14400,222.87411705900638
144,14500,265.2743887218174
145,14600,357.4100930351842
146,14700,487.9086741427219
147,14800,371.5720371247802
148,14900,364.18609765552355
149,15000,283.009795812341
150,15100,351.10079259583847
151,15200,316.6152503282057
152,15300,376.5597483540755
153,15400,373.12636663905454
154,15500,318.6638174943886
155,15600,289.1702924818383
156,15700,222.31719507077625
157,15800,278.33678191699266
158,15900,223.0346477390583
159,16000,138.28071389869692
160,16100,189.20724135713206
161,16200,191.79509432951085
162,16300,247.18592847582482
163,16400,255.80713421149122
164,16500,178.55710484502944
165,16600,211.6259056845707
166,16700,265.60097715838936
167,16800,215.27166299125088
168,16900,271.14330132124707
169,17000,397.6447825168684
170,17100,362.6015341933317
171,17200,396.8732807798159
172,17300,345.05466759632725
173,17400,322.2669944869887
174,17500,323.0243962110295
175,17600,345.1984058796902
176,17700,408.9697211213695
177,17800,370.27261944318695
178,17900,356.9129493314914
179,18000,323.92281760657505
180,18100,244.67708005499887
181,18200,284.01074950241235
182,18300,213.21378011316486
183,18400,234.58428419621538
184,18500,224.00212277267616
