,step_history,vehicle_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,21
5,600,26
6,700,30
7,800,34
8,900,38
9,1000,41
10,1100,43
11,1200,46
12,1300,44
13,1400,47
14,1500,48
15,1600,53
16,1700,60
17,1800,62
18,1900,63
19,2000,59
20,2100,59
21,2200,63
22,2300,66
23,2400,71
24,2500,72
25,2600,75
26,2700,67
27,2800,68
28,2900,74
29,3000,79
30,3100,82
31,3200,79
32,3300,81
33,3400,75
34,3500,71
35,3600,72
36,3700,77
37,3800,77
38,3900,81
39,4000,76
40,4100,78
41,4200,80
42,4300,87
43,4400,90
44,4500,89
45,4600,82
46,4700,76
47,4800,74
48,4900,74
49,5000,78
50,5100,82
51,5200,75
52,5300,78
53,5400,79
54,5500,68
55,5600,67
56,5700,72
57,5800,72
58,5900,74
59,6000,74
60,6100,71
61,6200,70
62,6300,67
63,6400,69
64,6500,75
65,6600,80
66,6700,78
67,6800,73
68,6900,69
69,7000,72
70,7100,74
71,7200,76
72,7300,77
73,7400,70
74,7500,67
75,7600,66
76,7700,68
77,7800,69
78,7900,73
79,8000,72
80,8100,67
81,8200,65
82,8300,67
83,8400,68
84,8500,70
85,8600,70
86,8700,69
87,8800,65
88,8900,66
89,9000,67
90,9100,70
91,9200,75
92,9300,76
93,9400,79
94,9500,75
95,9600,75
96,9700,76
97,9800,73
98,9900,70
99,10000,69
100,10100,69
101,10200,72
102,10300,74
103,10400,73
104,10500,76
105,10600,75
106,10700,73
107,10800,75
108,10900,80
109,11000,81
110,11100,81
111,11200,83
112,11300,83
113,11400,79
114,11500,71
115,11600,71
116,11700,75
117,11800,76
118,11900,81
119,12000,83
120,12100,86
121,12200,81
122,12300,84
123,12400,88
124,12500,87
125,12600,89
126,12700,87
127,12800,87
128,12900,91
129,13000,94
130,13100,99
131,13200,98
132,13300,95
133,13400,89
134,13500,80
135,13600,85
136,13700,89
137,13800,91
138,13900,89
139,14000,95
140,14100,93
141,14200,88
142,14300,93
143,14400,98
144,14500,94
145,14600,91
146,14700,93
147,14800,88
148,14900,78
149,15000,74
150,15100,72
151,15200,79
152,15300,81
153,15400,85
154,15500,85
155,15600,79
156,15700,80
157,15800,84
158,15900,89
159,16000,83
160,16100,87
161,16200,84
162,16300,86
163,16400,84
164,16500,86
165,16600,86
166,16700,81
167,16800,75
168,16900,69
169,17000,72
170,17100,72
171,17200,76
172,17300,77
173,17400,80
174,17500,82
175,17600,82
176,17700,82
177,17800,86
178,17900,83
179,18000,82
180,18100,86
181,18200,89
182,18300,93
183,18400,87
184,18500,83
185,18600,81
186,18700,81
187,18800,77
188,18900,77
189,19000,79
190,19100,79
191,19200,74
192,19300,72
193,19400,71
194,19500,75
195,19600,75
196,19700,74
197,19800,71
198,19900,71
199,20000,71
200,20100,67
201,20200,66
202,20300,69
203,20400,65
204,20500,62
205,20600,67
206,20700,70
207,20800,74
208,20900,76
209,21000,74
210,21100,71
211,21200,77
212,21300,80
213,21400,80
214,21500,82
215,21600,78
216,21700,80
217,21800,82
218,21900,86
219,22000,90
220,22100,89
221,22200,79
222,22300,80
223,22400,80
224,22500,81
225,22600,80
226,22700,81
227,22800,83
228,22900,87
229,23000,83
230,23100,85
231,23200,84
232,23300,80
233,23400,82
234,23500,72
235,23600,75
236,23700,73
237,23800,78
238,23900,77
239,24000,78
240,24100,77
241,24200,80
242,24300,80
243,24400,80
244,24500,82
245,24600,84
246,24700,85
247,24800,85
248,24900,82
249,25000,83
250,25100,83
251,25200,78
252,25300,74
253,25400,72
254,25500,71
255,25600,74
256,25700,78
257,25800,79
258,25900,73
259,26000,74
260,26100,81
261,26200,82
262,26300,76
263,26400,73
264,26500,77
265,26600,79
266,26700,83
267,26800,80
268,26900,85
269,27000,85
270,27100,85
271,27200,89
272,27300,94
273,27400,96
274,27500,93
275,27600,87
276,27700,82
277,27800,80
278,27900,82
279,28000,81
280,28100,79
281,28200,79
282,28300,69
283,28400,69
284,28500,61
285,28600,54
286,28700,54
287,28800,58
288,28900,55
289,29000,59
290,29100,58
291,29200,60
292,29300,63
293,29400,67
294,29500,63
295,29600,64
296,29700,66
297,29800,63
298,29900,60
299,30000,61
300,30100,68
301,30200,70
302,30300,67
303,30400,66
304,30500,67
305,30600,69
306,30700,69
307,30800,67
308,30900,65
309,31000,60
310,31100,63
311,31200,58
312,31300,60
313,31400,61
314,31500,69
315,31600,69
316,31700,70
317,31800,71
318,31900,69
319,32000,71
320,32100,68
321,32200,70
322,32300,68
323,32400,65
324,32500,68
325,32600,69
326,32700,73
327,32800,72
328,32900,69
329,33000,69
330,33100,71
331,33200,72
332,33300,74
333,33400,76
334,33500,75
335,33600,79
336,33700,82
337,33800,86
338,33900,84
339,34000,84
340,34100,81
341,34200,87
342,34300,88
343,34400,84
344,34500,85
345,34600,87
346,34700,87
347,34800,89
348,34900,87
349,35000,89
350,35100,85
351,35200,88
352,35300,84
353,35400,84
354,35500,82
355,35600,76
356,35700,74
357,35800,74
358,35900,66
359,36000,65
360,36100,66
361,36200,67
362,36300,63
363,36400,61
364,36500,57
365,36600,59
366,36700,64
367,36800,64
368,36900,66
369,37000,64
370,37100,65
371,37200,69
372,37300,70
373,37400,74
374,37500,69
375,37600,59
376,37700,56
377,37800,58
378,37900,59
379,38000,59
380,38100,66
381,38200,67
382,38300,62
383,38400,60
384,38500,65
385,38600,63
386,38700,61
387,38800,60
388,38900,61
389,39000,57
390,39100,57
391,39200,62
392,39300,66
393,39400,65
394,39500,68
395,39600,68
396,39700,70
397,39800,72
398,39900,73
399,40000,71
