,step_history,vehicle_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,18
5,600,22
6,700,22
7,800,26
8,900,29
9,1000,29
10,1100,31
11,1200,33
12,1300,35
13,1400,38
14,1500,38
15,1600,41
16,1700,41
17,1800,43
18,1900,41
19,2000,43
20,2100,43
21,2200,45
22,2300,48
23,2400,51
24,2500,54
25,2600,59
26,2700,63
27,2800,64
28,2900,65
29,3000,65
30,3100,67
31,3200,69
32,3300,72
33,3400,74
34,3500,70
35,3600,61
36,3700,57
37,3800,53
38,3900,54
39,4000,56
40,4100,54
41,4200,56
42,4300,58
43,4400,62
44,4500,61
45,4600,56
46,4700,53
47,4800,56
48,4900,59
49,5000,62
50,5100,64
51,5200,65
52,5300,64
53,5400,63
54,5500,64
55,5600,67
56,5700,68
57,5800,67
58,5900,66
59,6000,56
60,6100,53
61,6200,48
62,6300,49
63,6400,49
64,6500,52
65,6600,56
66,6700,57
67,6800,59
68,6900,56
69,7000,50
70,7100,47
71,7200,48
72,7300,48
73,7400,49
74,7500,51
75,7600,51
76,7700,52
77,7800,50
78,7900,55
79,8000,60
80,8100,65
81,8200,59
82,8300,56
83,8400,46
84,8500,41
85,8600,42
86,8700,42
87,8800,42
88,8900,45
89,9000,43
90,9100,48
91,9200,51
92,9300,50
93,9400,47
94,9500,48
95,9600,51
96,9700,55
97,9800,55
98,9900,59
99,10000,59
100,10100,57
101,10200,52
102,10300,54
103,10400,54
104,10500,57
105,10600,58
106,10700,59
107,10800,52
108,10900,49
109,11000,51
110,11100,44
111,11200,49
112,11300,52
113,11400,52
114,11500,55
115,11600,58
116,11700,61
117,11800,56
118,11900,55
119,12000,58
120,12100,61
121,12200,66
122,12300,67
123,12400,68
124,12500,68
125,12600,69
126,12700,75
127,12800,72
128,12900,73
129,13000,74
130,13100,76
131,13200,73
132,13300,69
133,13400,66
134,13500,61
135,13600,63
136,13700,64
137,13800,66
138,13900,70
139,14000,73
140,14100,74
141,14200,69
142,14300,68
143,14400,69
144,14500,65
145,14600,68
146,14700,70
147,14800,74
148,14900,74
149,15000,69
150,15100,72
151,15200,72
152,15300,74
153,15400,76
154,15500,72
155,15600,68
156,15700,55
157,15800,55
158,15900,48
159,16000,47
160,16100,51
161,16200,55
162,16300,54
163,16400,57
164,16500,56
165,16600,49
166,16700,52
167,16800,55
168,16900,60
169,17000,63
170,17100,66
171,17200,68
172,17300,70
173,17400,70
174,17500,76
175,17600,76
176,17700,79
177,17800,81
178,17900,79
179,18000,70
180,18100,61
181,18200,61
182,18300,62
183,18400,61
184,18500,62
185,18600,67
186,18700,69
187,18800,75
188,18900,73
189,19000,66
190,19100,67
191,19200,73
192,19300,75
193,19400,79
194,19500,80
195,19600,81
196,19700,80
197,19800,72
198,19900,72
199,20000,73
200,20100,75
201,20200,72
202,20300,68
203,20400,60
204,20500,51
205,20600,48
206,20700,44
207,20800,45
208,20900,44
209,21000,48
210,21100,51
211,21200,54
212,21300,57
213,21400,57
214,21500,60
215,21600,60
216,21700,61
217,21800,61
218,21900,62
219,22000,65
220,22100,64
221,22200,64
222,22300,67
223,22400,70
224,22500,73
225,22600,72
226,22700,69
227,22800,65
228,22900,62
229,23000,57
230,23100,56
231,23200,57
232,23300,57
233,23400,57
234,23500,59
235,23600,60
236,23700,57
237,23800,54
238,23900,51
239,24000,56
240,24100,56
241,24200,57
242,24300,60
243,24400,62
244,24500,65
245,24600,61
246,24700,66
247,24800,68
248,24900,67
249,25000,65
250,25100,66
251,25200,57
252,25300,52
253,25400,48
254,25500,48
255,25600,47
256,25700,52
257,25800,54
258,25900,57
259,26000,62
260,26100,65
261,26200,59
262,26300,60
263,26400,63
264,26500,63
265,26600,64
266,26700,67
267,26800,65
268,26900,65
269,27000,64
270,27100,66
271,27200,67
272,27300,69
273,27400,69
274,27500,68
275,27600,57
276,27700,50
277,27800,48
278,27900,43
279,28000,34
280,28100,39
281,28200,42
282,28300,44
283,28400,47
284,28500,46
285,28600,44
286,28700,47
287,28800,48
288,28900,51
289,29000,53
290,29100,57
291,29200,59
292,29300,63
293,29400,58
294,29500,63
295,29600,62
296,29700,62
297,29800,60
298,29900,64
299,30000,53
300,30100,51
301,30200,51
302,30300,49
303,30400,53
304,30500,55
305,30600,60
306,30700,62
307,30800,64
308,30900,63
309,31000,60
310,31100,55
311,31200,54
312,31300,56
313,31400,59
314,31500,59
315,31600,64
316,31700,65
317,31800,66
318,31900,68
319,32000,73
320,32100,80
321,32200,82
322,32300,83
323,32400,74
324,32500,67
325,32600,61
326,32700,58
327,32800,57
328,32900,60
329,33000,63
330,33100,68
331,33200,71
332,33300,69
333,33400,63
334,33500,63
335,33600,63
336,33700,65
337,33800,68
338,33900,70
339,34000,72
340,34100,70
341,34200,69
342,34300,64
343,34400,66
344,34500,70
345,34600,70
346,34700,72
347,34800,63
348,34900,56
349,35000,54
350,35100,53
351,35200,55
352,35300,59
353,35400,61
354,35500,62
355,35600,64
356,35700,63
357,35800,61
358,35900,63
359,36000,66
360,36100,72
361,36200,74
362,36300,76
363,36400,76
364,36500,78
365,36600,72
366,36700,69
367,36800,68
368,36900,72
369,37000,74
370,37100,73
371,37200,65
372,37300,59
373,37400,57
374,37500,53
375,37600,47
376,37700,52
377,37800,55
378,37900,56
379,38000,57
380,38100,54
381,38200,49
382,38300,50
383,38400,54
384,38500,57
385,38600,62
386,38700,65
387,38800,65
388,38900,65
389,39000,69
390,39100,71
391,39200,72
392,39300,73
393,39400,76
394,39500,77
395,39600,68
396,39700,59
397,39800,58
398,39900,55
399,40000,56
