,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,4
5,600,8
6,700,11
7,800,15
8,900,13
9,1000,13
10,1100,10
11,1200,8
12,1300,7
13,1400,8
14,1500,11
15,1600,13
16,1700,19
17,1800,17
18,1900,17
19,2000,20
20,2100,17
21,2200,18
22,2300,19
23,2400,18
24,2500,20
25,2600,17
26,2700,21
27,2800,29
28,2900,33
29,3000,39
30,3100,34
31,3200,25
32,3300,19
33,3400,17
34,3500,22
35,3600,18
36,3700,19
37,3800,25
38,3900,38
39,4000,38
40,4100,31
41,4200,25
42,4300,27
43,4400,19
44,4500,23
45,4600,23
46,4700,28
47,4800,29
48,4900,28
49,5000,18
50,5100,17
51,5200,18
52,5300,28
53,5400,21
54,5500,15
55,5600,12
56,5700,13
57,5800,18
58,5900,22
59,6000,23
60,6100,26
61,6200,25
62,6300,24
63,6400,29
64,6500,26
65,6600,20
66,6700,21
67,6800,20
68,6900,18
69,7000,22
70,7100,26
71,7200,32
72,7300,31
73,7400,18
74,7500,12
75,7600,11
76,7700,18
77,7800,16
78,7900,23
79,8000,23
80,8100,21
81,8200,23
82,8300,32
83,8400,28
84,8500,27
85,8600,26
86,8700,21
87,8800,27
88,8900,29
89,9000,25
90,9100,19
91,9200,27
92,9300,24
93,9400,17
94,9500,19
95,9600,28
96,9700,23
97,9800,22
98,9900,15
99,10000,21
100,10100,27
101,10200,28
102,10300,27
103,10400,31
104,10500,29
105,10600,31
106,10700,31
107,10800,20
108,10900,13
109,11000,21
110,11100,17
111,11200,13
112,11300,16
113,11400,23
114,11500,31
115,11600,33
116,11700,28
117,11800,28
118,11900,29
119,12000,32
120,12100,33
121,12200,24
122,12300,19
123,12400,19
124,12500,25
125,12600,29
126,12700,33
127,12800,35
128,12900,39
129,13000,38
130,13100,29
131,13200,21
132,13300,21
133,13400,25
134,13500,35
135,13600,32
136,13700,28
137,13800,37
138,13900,34
139,14000,29
140,14100,30
141,14200,28
142,14300,29
143,14400,32
144,14500,29
145,14600,28
146,14700,30
147,14800,30
148,14900,34
149,15000,34
150,15100,39
151,15200,32
152,15300,29
153,15400,23
154,15500,27
155,15600,25
156,15700,25
157,15800,28
158,15900,39
159,16000,37
160,16100,38
161,16200,37
162,16300,37
163,16400,31
164,16500,28
165,16600,21
166,16700,25
167,16800,19
168,16900,23
169,17000,29
170,17100,36
171,17200,37
172,17300,38
173,17400,29
174,17500,28
175,17600,33
176,17700,30
177,17800,25
178,17900,31
179,18000,31
180,18100,37
181,18200,28
182,18300,28
183,18400,26
184,18500,25
185,18600,25
186,18700,27
187,18800,30
188,18900,32
189,19000,33
190,19100,38
191,19200,33
192,19300,28
193,19400,26
194,19500,22
195,19600,18
196,19700,18
197,19800,22
198,19900,29
199,20000,34
200,20100,23
201,20200,21
202,20300,19
203,20400,18
204,20500,19
205,20600,16
206,20700,20
207,20800,30
208,20900,25
209,21000,22
210,21100,18
211,21200,26
212,21300,28
213,21400,27
214,21500,23
215,21600,30
216,21700,31
217,21800,33
218,21900,22
219,22000,29
220,22100,29
221,22200,23
222,22300,26
223,22400,33
224,22500,32
225,22600,37
226,22700,35
227,22800,25
228,22900,22
229,23000,27
230,23100,32
231,23200,32
232,23300,26
233,23400,26
234,23500,28
235,23600,24
236,23700,19
237,23800,21
238,23900,25
239,24000,28
240,24100,24
241,24200,24
242,24300,27
243,24400,31
244,24500,28
245,24600,26
246,24700,24
247,24800,26
248,24900,29
249,25000,31
250,25100,27
251,25200,25
252,25300,26
253,25400,32
254,25500,33
255,25600,31
256,25700,28
257,25800,28
258,25900,23
259,26000,21
260,26100,17
261,26200,26
262,26300,30
263,26400,34
264,26500,27
265,26600,30
266,26700,30
267,26800,29
268,26900,26
269,27000,35
270,27100,40
