,step_history,emissions_history
0,100,20.717413555950632
1,200,62.76016441350161
2,300,74.76115667129646
3,400,98.82415028415811
4,500,146.56243453975873
5,600,167.82176870084123
6,700,184.30286458182675
7,800,212.02090325431334
8,900,277.12524866028645
9,1000,304.83286337291895
10,1100,254.15144180560029
11,1200,217.8714373893445
12,1300,244.24513381703147
13,1400,303.4973757637341
14,1500,373.6147172489399
15,1600,331.6183392791979
16,1700,406.3350073807125
17,1800,419.71338102854685
18,1900,298.9697362781568
19,2000,253.16678491711158
20,2100,330.064911602475
21,2200,419.6328433495017
22,2300,600.4075539683668
23,2400,464.4139312545676
24,2500,379.5473175087734
25,2600,338.02204742762206
26,2700,341.44010297855107
27,2800,389.09330034417604
28,2900,463.2030702391424
29,3000,405.1795807881665
30,3100,384.22373255034177
31,3200,462.79358251012695
32,3300,458.7894821592533
33,3400,353.4966176123323
34,3500,433.76304134585456
35,3600,452.3357095300551
36,3700,323.95588164798085
37,3800,433.7401731444441
38,3900,415.5619842063708
39,4000,394.75138855137124
40,4100,389.3216019233366
41,4200,532.3642463608683
42,4300,507.7336411370971
43,4400,353.97737735447635
44,4500,264.87134270538047
45,4600,471.69023511901224
46,4700,495.436824635703
47,4800,499.2208115079779
48,4900,467.93863892321843
49,5000,627.0469971515969
50,5100,501.0950599652699
51,5200,315.65300675779
52,5300,330.14871591676933
53,5400,357.19966005935
54,5500,503.23524240000336
55,5600,516.8375697579113
56,5700,450.74292309821993
57,5800,338.66620164079217
58,5900,299.0516172753488
59,6000,491.9335857513221
60,6100,497.16999258906367
61,6200,555.9447975540186
62,6300,560.0596590656072
63,6400,450.85910974671094
64,6500,421.5581396178658
65,6600,292.8264774403438
66,6700,324.0172345530874
67,6800,408.70740086608873
68,6900,317.9346374810916
69,7000,501.52921859359355
70,7100,370.79480020851463
71,7200,387.5132749219265
72,7300,408.7018005308962
73,7400,362.29825638398967
74,7500,350.52299129409954
75,7600,362.76643825957206
76,7700,543.9021929426242
77,7800,431.65669936066195
78,7900,438.84224153901494
79,8000,578.7098257727639
80,8100,546.0167394233608
81,8200,382.5638170115665
82,8300,371.69844797446467
83,8400,336.4331416834555
84,8500,470.86288950649487
85,8600,562.42165507249
86,8700,412.1054645243561
87,8800,555.5420775228711
88,8900,532.2050436344721
89,9000,446.59238636720204
90,9100,370.5648712909187
91,9200,412.4580624511906
92,9300,575.5294778869163
93,9400,528.6920999837457
94,9500,458.23155329273106
95,9600,466.1319968317862
96,9700,401.0154115455692
97,9800,315.50281470216083
98,9900,418.29104486682576
99,10000,460.4244551913591
100,10100,395.15081895968405
101,10200,417.4719654749864
102,10300,422.8733423768191
103,10400,398.34408370040126
104,10500,459.43210195044924
105,10600,440.89533157108133
106,10700,421.55322399027636
107,10800,375.0021160829824
108,10900,457.1293930848246
109,11000,396.31952449787525
110,11100,394.5480286036796
111,11200,308.87698867096464
112,11300,478.18818735335316
113,11400,525.881310071446
114,11500,448.581373957816
115,11600,458.64331143879434
116,11700,479.03656040419054
117,11800,596.2164901424682
118,11900,325.6679974920971
119,12000,482.57293385076457
120,12100,631.1236989299736
121,12200,460.9343928760685
122,12300,391.632668026665
123,12400,409.5072021575727
124,12500,384.73399549793436
125,12600,473.8669401090242
126,12700,545.830716162825
127,12800,416.6627419165945
128,12900,441.37893430082175
129,13000,401.84237279514053
130,13100,387.760099349189
131,13200,470.981465484945
132,13300,460.68252081964147
133,13400,429.97521682322605
134,13500,462.1989754160452
135,13600,522.9441516147194
136,13700,527.5146114268924
137,13800,433.874031759217
138,13900,370.80091847948563
139,14000,595.7329892924183
140,14100,668.1660861394644
141,14200,483.13214452388763
142,14300,457.16259840942865
143,14400,576.3691793311322
144,14500,462.17816397708185
145,14600,373.38231431457456
146,14700,569.3484716313301
147,14800,608.1901685205008
148,14900,461.91190455270794
149,15000,391.98350190514316
150,15100,403.8174804353601
151,15200,374.59482504414916
152,15300,422.4416758535346
153,15400,491.5259277613577
154,15500,572.9921548905577
155,15600,547.8290530007523
156,15700,493.49126618624354
157,15800,552.8622908743961
158,15900,569.6257376645392
159,16000,389.57392570713296
160,16100,467.12227275979535
161,16200,545.6719139095943
162,16300,474.5269397361755
163,16400,406.39378622352706
164,16500,356.70781592164496
165,16600,437.6896606611031
166,16700,538.076212813297
167,16800,403.43717778810907
168,16900,426.00851867629245
169,17000,503.2829814694353
170,17100,489.05003353767466
171,17200,492.145444383408
172,17300,528.9585948923029
173,17400,396.3943170364768
174,17500,548.7351745636334
175,17600,609.1682884937679
176,17700,454.6059997461809
177,17800,414.34172499480405
178,17900,438.95220602584925
179,18000,514.6531851735549
180,18100,525.4365598059981
181,18200,432.0682548794644
182,18300,524.1916867230398
183,18400,533.9282198181685
184,18500,700.830328820921
185,18600,393.17353956457225
186,18700,467.3650632367225
187,18800,556.4486055261003
188,18900,522.3174531241722
189,19000,375.7905124734054
190,19100,405.80939958223286
191,19200,520.3936614792295
192,19300,489.9642983825266
193,19400,386.98982316269246
194,19500,280.3365514462214
195,19600,443.0676172312218
196,19700,577.8690465392375
197,19800,563.1737538201534
198,19900,429.29136805416107
199,20000,451.2455730967454
200,20100,414.02849446913825
201,20200,388.12437413205475
202,20300,583.7079777656984
203,20400,381.1120358570666
204,20500,433.9000743660337
205,20600,476.4479045007741
206,20700,395.0157357441682
207,20800,340.8157420294261
208,20900,407.657960045003
209,21000,618.3713241622853
210,21100,610.6942904986342
211,21200,504.3044714725338
212,21300,582.4590090020635
213,21400,437.80692012929114
214,21500,365.52394273795477
215,21600,354.11788167154964
216,21700,393.202003342082
217,21800,410.84656621523027
218,21900,366.51455762462774
219,22000,388.083982332425
220,22100,423.0323502102957
221,22200,354.2368180166457
222,22300,339.5020631752883
223,22400,467.06321038193005
224,22500,537.1728841900391
225,22600,591.2733985711201
226,22700,558.3351894453526
227,22800,410.98807776797423
228,22900,355.6390326518846
229,23000,398.71992006372005
230,23100,358.4016402620386
231,23200,389.94491290194105
232,23300,402.20082866270303
233,23400,373.55410548499225
234,23500,429.7449870373834
235,23600,466.4879149936476
236,23700,450.9920518506707
237,23800,549.6719578692728
238,23900,552.1248490691653
239,24000,381.93368647799645
240,24100,382.54416873080015
241,24200,287.7894610608311
242,24300,369.18745015238204
243,24400,454.115470199705
244,24500,588.6489770492669
245,24600,421.5295235235955
246,24700,461.0809368855693
247,24800,487.05840165261
248,24900,346.61026549804666
249,25000,342.32281640726916
250,25100,456.44757876517724
251,25200,491.4463290193224
252,25300,434.2962189772163
253,25400,359.0024450219033
254,25500,590.17977709078
255,25600,492.0452907546589
256,25700,456.36852715573633
257,25800,458.39719397308204
258,25900,497.15056732424205
259,26000,502.8270892773769
260,26100,417.63229444894677
261,26200,330.50838723218914
262,26300,373.3762003074893
263,26400,313.4285065069252
264,26500,465.2848991550371
265,26600,682.0955175364543
266,26700,550.0916894985793
267,26800,419.652731366925
268,26900,385.50685978734816
269,27000,349.738958428323
270,27100,387.47260882708105
271,27200,320.32608442621824
272,27300,483.58386210307384
273,27400,399.0262337083608
274,27500,489.1865253568672
275,27600,499.3227376798484
276,27700,648.3714548560224
277,27800,484.66520553924113
278,27900,448.7463343765752
279,28000,558.1415715881608
280,28100,394.17165129486
281,28200,316.3609651677611
282,28300,317.8968100736619
283,28400,347.75242921122856
284,28500,410.93598169819535
285,28600,437.2755878525701
286,28700,440.34608444622614
287,28800,454.04917101467424
288,28900,602.4985445632177
289,29000,349.99789292563935
290,29100,421.8950016417265
291,29200,418.381963893011
292,29300,496.71523761585934
293,29400,575.7276935556691
294,29500,265.0563341845402
295,29600,439.54395240673784
296,29700,407.4640821427545
297,29800,399.44750726843205
298,29900,501.0851321906872
299,30000,520.6943289666478
300,30100,511.48679413677854
301,30200,616.3904481063853
302,30300,409.0116141697081
303,30400,331.53234263249385
