,step_history,emissions_history
0,100,20.104318942727048
1,200,55.18281677877749
2,300,84.78802547361603
3,400,82.01101751011399
4,500,103.02745575965095
5,600,123.40499997673217
6,700,164.9960097374947
7,800,188.64014801081078
8,900,294.1137102999103
9,1000,271.6014341540536
10,1100,221.83407409678426
11,1200,354.1773340973349
12,1300,227.65541136453606
13,1400,141.01976778241408
14,1500,194.10432736224692
15,1600,300.63941697942533
16,1700,423.85020477965566
17,1800,393.43124332548797
18,1900,269.8938040216028
19,2000,240.02369331334057
20,2100,225.80862253229756
21,2200,233.12096836470218
22,2300,308.45069027011135
23,2400,473.352507247775
24,2500,423.27876177908087
25,2600,350.7660642523884
26,2700,422.0144618697149
27,2800,350.6324867130418
28,2900,339.70007226013445
29,3000,376.05080254285116
30,3100,457.7374436228598
31,3200,366.8625925670248
32,3300,371.7260409248593
33,3400,373.8421441404968
34,3500,297.11018977942683
35,3600,325.4815179404253
36,3700,349.1498109248747
37,3800,413.0549029187083
38,3900,307.0834790033262
39,4000,413.23781887848946
40,4100,510.9244418930703
41,4200,316.5999126266481
42,4300,400.3632980756339
43,4400,392.5578653733184
44,4500,359.8711902634561
45,4600,317.3722875180506
46,4700,333.9110489645395
47,4800,297.4780772675502
48,4900,290.91348629044546
49,5000,371.1293095627966
50,5100,498.5014830836089
51,5200,478.2204464518926
52,5300,377.7692951368019
53,5400,415.46194809272896
54,5500,283.36098895094517
55,5600,229.97988112460982
56,5700,275.0586089430099
57,5800,400.50604861414166
58,5900,425.79676902012875
59,6000,464.43337425599987
60,6100,289.4831603741602
61,6200,277.9439631568278
62,6300,361.2900030501765
63,6400,386.80202918760426
64,6500,320.10774407954267
65,6600,272.00802718876906
66,6700,258.0421505365728
67,6800,330.4799961571505
68,6900,270.68468751958363
69,7000,347.763217872343
70,7100,418.86886147342926
71,7200,447.9658324050186
72,7300,295.7011030764626
73,7400,340.76151092750507
74,7500,454.3887228299345
75,7600,445.6272445305153
76,7700,307.0786663177747
77,7800,300.69792908540904
78,7900,378.0692509595947
79,8000,301.4189393520176
80,8100,314.49828355218193
81,8200,394.6421160392581
82,8300,397.90193546565894
83,8400,375.94564996343166
84,8500,345.15459104515145
85,8600,355.87852087164407
86,8700,490.17899233078487
87,8800,357.48649451366884
88,8900,317.03246197548015
89,9000,417.124629305449
90,9100,302.8052711493944
91,9200,378.6046250079772
92,9300,380.89733343306114
93,9400,347.3947847430994
94,9500,439.9361444677216
95,9600,485.03476602449683
96,9700,473.4397099808506
97,9800,327.5973884450312
98,9900,303.1756214727372
99,10000,368.794597967445
100,10100,288.6443288887371
101,10200,336.2992418843864
102,10300,427.924017060806
103,10400,516.1583933166404
104,10500,389.56841749233587
105,10600,373.0765114901955
106,10700,397.03677225232974
107,10800,381.94951509531654
108,10900,380.2344538812368
109,11000,433.39521721161344
110,11100,414.20184244705587
111,11200,407.61121474594586
112,11300,503.11441162657184
113,11400,477.62540046653027
114,11500,348.2339875992683
115,11600,336.8687640878685
116,11700,341.2477795460832
117,11800,415.7653532315249
118,11900,370.12213754709103
119,12000,455.4615606349316
120,12100,590.7951071814077
121,12200,551.0674500244562
122,12300,296.99649885067925
123,12400,392.79704307369536
124,12500,273.8228846359263
125,12600,328.45277273017115
126,12700,447.8685702248905
127,12800,543.0064585862459
128,12900,429.46337806942574
129,13000,475.24058651376487
130,13100,477.0191991639183
131,13200,526.8228271469189
132,13300,365.62911082698974
133,13400,419.3678311463656
134,13500,435.86735799286697
135,13600,378.9339288280082
136,13700,414.92888982647884
137,13800,500.48948648326484
138,13900,618.9624860107185
139,14000,537.1331299889001
140,14100,326.9422458651784
141,14200,342.9909200723732
142,14300,444.03420215122276
143,14400,527.1400453726338
144,14500,472.30157995982694
145,14600,466.17673854171295
146,14700,517.1580828599349
147,14800,491.77055088910237
148,14900,359.8329222111298
149,15000,417.68645249751467
150,15100,296.8668368249272
151,15200,359.7612188675911
152,15300,356.658962572621
153,15400,326.98652316636577
154,15500,439.5639398390107
155,15600,532.2530002852978
156,15700,435.7875169213187
157,15800,577.6281346766434
158,15900,278.6666706837548
159,16000,374.57940996563036
160,16100,338.3804660010247
161,16200,337.0956045002022
162,16300,447.97976032071495
163,16400,482.28621203030553
164,16500,443.5376502995349
165,16600,399.00822358527483
166,16700,382.57309800112387
167,16800,350.10528015859046
168,16900,357.30139116601697
169,17000,290.8784271927922
170,17100,343.5153127096325
171,17200,382.2797659199677
172,17300,479.70474677975227
173,17400,361.9021592150311
174,17500,398.885550962485
175,17600,394.99593373733165
176,17700,363.4859864477062
177,17800,350.85194693126493
178,17900,341.30140114064073
179,18000,360.8076215723316
180,18100,380.7198180337883
181,18200,381.1463066331235
182,18300,501.91284993182364
183,18400,489.00918105662123
184,18500,343.5271649521673
185,18600,395.2961997830002
186,18700,495.1936004871517
187,18800,347.05989423755796
188,18900,339.7711670995528
189,19000,441.47601579274897
190,19100,347.31922050865586
191,19200,367.5666146342814
192,19300,332.3954300865611
193,19400,409.74966262961334
194,19500,440.6271453119287
195,19600,325.59628207866956
196,19700,322.07032306553475
197,19800,305.24037171193834
198,19900,320.09395393689755
199,20000,492.0616302218488
200,20100,407.60295872480583
201,20200,243.49939145886546
202,20300,316.37164471020185
203,20400,332.9717221407534
204,20500,261.8044339672028
205,20600,452.1439251410989
206,20700,435.46313482614624
207,20800,431.9649607664585
208,20900,331.8251668983684
209,21000,360.31884446268197
210,21100,323.20262379946723
211,21200,383.70371040068727
212,21300,458.6111776644387
213,21400,344.3018477542898
214,21500,422.09762861277045
215,21600,347.62930521609456
216,21700,370.38185368575967
217,21800,533.3838511906067
218,21900,419.711497921792
219,22000,447.57902250599784
220,22100,503.99462685709193
221,22200,387.4584595500137
222,22300,397.9836450251022
223,22400,518.2505207843192
224,22500,415.97202143967644
225,22600,358.7458005610472
226,22700,473.24818052165324
227,22800,397.6496186308616
228,22900,401.620116173543
229,23000,469.9689029697583
