,step_history,queue_history
0,100,0
1,200,0
2,300,0
3,400,1
4,500,1
5,600,5
6,700,6
7,800,8
8,900,10
9,1000,14
10,1100,17
11,1200,14
12,1300,19
13,1400,19
14,1500,24
15,1600,29
16,1700,33
17,1800,35
18,1900,34
19,2000,38
20,2100,36
21,2200,41
22,2300,43
23,2400,44
24,2500,32
25,2600,30
26,2700,24
27,2800,25
28,2900,29
29,3000,31
30,3100,28
31,3200,33
32,3300,33
33,3400,32
34,3500,34
35,3600,40
36,3700,38
37,3800,43
38,3900,42
39,4000,44
40,4100,49
41,4200,49
42,4300,49
43,4400,44
44,4500,41
45,4600,38
46,4700,41
47,4800,46
48,4900,39
49,5000,35
50,5100,29
51,5200,37
52,5300,38
53,5400,39
54,5500,38
55,5600,44
56,5700,44
57,5800,45
58,5900,45
59,6000,45
60,6100,44
61,6200,42
62,6300,44
63,6400,48
64,6500,52
65,6600,56
66,6700,51
67,6800,49
68,6900,44
69,7000,41
70,7100,42
71,7200,41
72,7300,35
73,7400,34
74,7500,29
75,7600,35
76,7700,42
77,7800,45
78,7900,41
79,8000,41
80,8100,40
81,8200,38
82,8300,37
83,8400,44
84,8500,44
85,8600,42
86,8700,39
87,8800,43
88,8900,46
89,9000,51
90,9100,46
91,9200,51
92,9300,48
93,9400,39
94,9500,40
95,9600,43
96,9700,34
97,9800,33
98,9900,26
99,10000,36
100,10100,39
101,10200,44
102,10300,44
103,10400,49
104,10500,51
105,10600,49
106,10700,50
107,10800,47
108,10900,46
109,11000,41
110,11100,47
111,11200,52
112,11300,56
113,11400,58
114,11500,55
115,11600,54
116,11700,46
117,11800,44
118,11900,45
119,12000,45
120,12100,40
121,12200,43
122,12300,38
123,12400,39
124,12500,41
125,12600,38
126,12700,38
127,12800,49
128,12900,50
129,13000,50
130,13100,52
131,13200,46
132,13300,50
133,13400,47
134,13500,52
135,13600,52
136,13700,56
137,13800,59
138,13900,54
139,14000,50
140,14100,45
141,14200,37
142,14300,39
143,14400,44
144,14500,42
145,14600,43
146,14700,35
147,14800,41
148,14900,40
149,15000,43
150,15100,41
151,15200,53
152,15300,53
153,15400,46
154,15500,46
155,15600,47
156,15700,45
157,15800,40
158,15900,40
159,16000,43
160,16100,45
161,16200,51
162,16300,49
163,16400,50
164,16500,48
165,16600,45
166,16700,47
167,16800,49
168,16900,44
169,17000,41
170,17100,36
171,17200,35
172,17300,41
173,17400,41
174,17500,40
175,17600,47
176,17700,49
177,17800,54
178,17900,51
179,18000,51
180,18100,52
181,18200,51
182,18300,52
183,18400,55
184,18500,58
185,18600,64
186,18700,62
187,18800,61
188,18900,57
189,19000,47
190,19100,49
191,19200,52
192,19300,44
193,19400,42
194,19500,37
195,19600,38
196,19700,36
197,19800,39
198,19900,41
199,20000,49
200,20100,45
201,20200,40
202,20300,40
203,20400,41
204,20500,43
205,20600,48
206,20700,43
207,20800,46
208,20900,49
209,21000,50
210,21100,48
211,21200,51
212,21300,42
213,21400,40
214,21500,44
215,21600,45
216,21700,34
217,21800,33
218,21900,24
219,22000,27
220,22100,26
221,22200,30
222,22300,34
223,22400,34
224,22500,34
225,22600,34
226,22700,38
227,22800,37
228,22900,35
229,23000,35
230,23100,36
231,23200,43
232,23300,46
233,23400,47
234,23500,45
235,23600,44
236,23700,38
237,23800,41
238,23900,43
239,24000,42
240,24100,35
241,24200,32
242,24300,26
243,24400,34
244,24500,34
245,24600,36
246,24700,38
247,24800,42
248,24900,38
249,25000,40
250,25100,47
251,25200,44
252,25300,47
253,25400,37
254,25500,44
255,25600,48
256,25700,53
257,25800,52
258,25900,53
259,26000,51
260,26100,45
261,26200,43
262,26300,46
263,26400,47
264,26500,38
265,26600,37
266,26700,29
267,26800,38
268,26900,37
269,27000,40
270,27100,37
