,step_history,queue_history
0,100,0
1,200,0
2,300,1
3,400,2
4,500,3
5,600,6
6,700,6
7,800,12
8,900,9
9,1000,10
10,1100,16
11,1200,17
12,1300,18
13,1400,15
14,1500,19
15,1600,12
16,1700,15
17,1800,16
18,1900,20
19,2000,28
20,2100,33
21,2200,25
22,2300,19
23,2400,21
24,2500,29
25,2600,31
26,2700,38
27,2800,37
28,2900,32
29,3000,33
30,3100,36
31,3200,33
32,3300,27
33,3400,28
34,3500,30
35,3600,32
36,3700,44
37,3800,40
38,3900,39
39,4000,37
40,4100,29
41,4200,33
42,4300,26
43,4400,31
44,4500,37
45,4600,37
46,4700,38
47,4800,41
48,4900,35
49,5000,26
50,5100,28
51,5200,31
52,5300,35
53,5400,35
54,5500,26
55,5600,23
56,5700,20
57,5800,26
58,5900,36
59,6000,37
60,6100,37
61,6200,34
62,6300,25
63,6400,22
64,6500,19
65,6600,26
66,6700,24
67,6800,22
68,6900,22
69,7000,27
70,7100,28
71,7200,29
72,7300,33
73,7400,37
74,7500,38
75,7600,29
76,7700,33
77,7800,31
78,7900,34
79,8000,25
80,8100,26
81,8200,30
82,8300,35
83,8400,42
84,8500,36
85,8600,32
86,8700,28
87,8800,32
88,8900,38
89,9000,39
90,9100,45
91,9200,39
92,9300,24
93,9400,23
94,9500,18
95,9600,21
96,9700,24
97,9800,33
98,9900,41
99,10000,40
100,10100,43
101,10200,37
102,10300,33
103,10400,31
104,10500,31
105,10600,27
106,10700,31
107,10800,32
108,10900,34
109,11000,34
110,11100,37
111,11200,42
112,11300,43
113,11400,35
114,11500,37
115,11600,46
116,11700,39
117,11800,38
118,11900,37
119,12000,32
120,12100,21
121,12200,23
122,12300,25
123,12400,28
124,12500,32
125,12600,30
126,12700,27
127,12800,30
128,12900,35
129,13000,44
130,13100,41
131,13200,42
132,13300,47
133,13400,46
134,13500,43
135,13600,38
136,13700,39
137,13800,39
138,13900,42
139,14000,33
140,14100,27
141,14200,35
142,14300,40
143,14400,34
144,14500,32
145,14600,36
146,14700,30
147,14800,33
148,14900,34
149,15000,43
150,15100,54
151,15200,53
152,15300,58
153,15400,51
154,15500,43
155,15600,40
156,15700,34
157,15800,29
158,15900,28
159,16000,31
160,16100,32
161,16200,27
162,16300,25
163,16400,29
164,16500,33
165,16600,34
166,16700,33
167,16800,38
168,16900,33
169,17000,36
170,17100,36
171,17200,35
172,17300,41
173,17400,38
174,17500,36
175,17600,28
176,17700,31
177,17800,42
178,17900,49
179,18000,54
180,18100,46
181,18200,39
182,18300,34
183,18400,35
184,18500,32
185,18600,35
186,18700,40
187,18800,38
188,18900,38
189,19000,37
190,19100,33
191,19200,23
192,19300,27
193,19400,36
194,19500,46
195,19600,47
196,19700,38
197,19800,40
198,19900,31
199,20000,41
200,20100,43
201,20200,30
202,20300,26
203,20400,23
204,20500,27
205,20600,33
206,20700,35
207,20800,41
208,20900,34
209,21000,31
210,21100,26
211,21200,22
212,21300,24
213,21400,27
214,21500,31
215,21600,30
216,21700,29
217,21800,27
218,21900,29
219,22000,33
220,22100,31
221,22200,32
222,22300,37
223,22400,36
224,22500,35
225,22600,29
226,22700,27
227,22800,29
228,22900,27
229,23000,33
230,23100,35
231,23200,37
232,23300,36
233,23400,37
234,23500,36
235,23600,34
236,23700,30
237,23800,23
238,23900,22
239,24000,33
240,24100,40
241,24200,45
242,24300,43
243,24400,33
244,24500,34
245,24600,28
246,24700,27
247,24800,30
248,24900,35
249,25000,37
250,25100,35
251,25200,28
252,25300,28
253,25400,33
254,25500,31
255,25600,35
256,25700,32
257,25800,39
258,25900,40
259,26000,35
260,26100,32
261,26200,31
262,26300,37
263,26400,38
264,26500,32
265,26600,25
266,26700,28
267,26800,28
268,26900,29
269,27000,29
270,27100,28
