,step_history,waiting_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,108
5,600,402
6,700,754
7,800,1017
8,900,1239
9,1000,1515
10,1100,2106
11,1200,3093
12,1300,3746
13,1400,4110
14,1500,4386
15,1600,4643
16,1700,5094
17,1800,5896
18,1900,6756
19,2000,7528
20,2100,8342
21,2200,9017
22,2300,9914
23,2400,10947
24,2500,12026
25,2600,13133
26,2700,14336
27,2800,15783
28,2900,16698
29,3000,17380
30,3100,18294
31,3200,19535
32,3300,20471
33,3400,21367
34,3500,22266
35,3600,23107
36,3700,23946
37,3800,25233
38,3900,26289
39,4000,27272
40,4100,28163
41,4200,29030
42,4300,29868
43,4400,30784
44,4500,31994
45,4600,32959
46,4700,33874
47,4800,34775
48,4900,35302
49,5000,35918
50,5100,36838
51,5200,37752
52,5300,38759
53,5400,39955
54,5500,40695
55,5600,41270
56,5700,41671
57,5800,42466
58,5900,43507
59,6000,44465
60,6100,45419
61,6200,46394
62,6300,47097
63,6400,47904
64,6500,49003
65,6600,49968
66,6700,51243
67,6800,52352
68,6900,53149
69,7000,54016
70,7100,54543
71,7200,55050
72,7300,55652
73,7400,56590
74,7500,57605
75,7600,59057
76,7700,60471
77,7800,61295
78,7900,62173
79,8000,62768
80,8100,63342
81,8200,64197
82,8300,65391
83,8400,66527
84,8500,67248
85,8600,67990
86,8700,68736
87,8800,69404
88,8900,70352
89,9000,71464
90,9100,72415
91,9200,73563
92,9300,74191
93,9400,74973
94,9500,75876
95,9600,76385
96,9700,77103
97,9800,78303
98,9900,79206
99,10000,79880
100,10100,80804
101,10200,81873
102,10300,82801
103,10400,83773
104,10500,85091
105,10600,87006
106,10700,89187
107,10800,90333
108,10900,91126
109,11000,91833
110,11100,92624
111,11200,93431
112,11300,94608
113,11400,96094
114,11500,97378
115,11600,98341
116,11700,98964
117,11800,99878
118,11900,100955
119,12000,102414
120,12100,103975
121,12200,105014
122,12300,106017
123,12400,106907
124,12500,107718
125,12600,108777
126,12700,110514
127,12800,112326
128,12900,113204
129,13000,114160
130,13100,115156
131,13200,116444
132,13300,117758
133,13400,118935
134,13500,120358
135,13600,122135
136,13700,123265
137,13800,124635
138,13900,126461
139,14000,127905
140,14100,128901
141,14200,129432
142,14300,130302
143,14400,130838
144,14500,131579
145,14600,132534
146,14700,133892
147,14800,135216
148,14900,136817
149,15000,138823
150,15100,139580
151,15200,140730
152,15300,141972
153,15400,143412
154,15500,144850
155,15600,145650
156,15700,146649
157,15800,147508
158,15900,148263
159,16000,149316
160,16100,150733
161,16200,151849
162,16300,153028
163,16400,153614
164,16500,154432
165,16600,155614
166,16700,156962
167,16800,158312
168,16900,159723
169,17000,161082
170,17100,162034
171,17200,162678
172,17300,163551
173,17400,164334
174,17500,165422
175,17600,166557
176,17700,167909
177,17800,169663
178,17900,170917
179,18000,172094
180,18100,173258
181,18200,174340
182,18300,175936
183,18400,177198
184,18500,178634
185,18600,179910
186,18700,180818
187,18800,181761
188,18900,182529
189,19000,183619
190,19100,185096
191,19200,186082
192,19300,187187
193,19400,188554
194,19500,189846
195,19600,190927
196,19700,192280
197,19800,193395
198,19900,194869
199,20000,196465
200,20100,197731
201,20200,199032
202,20300,200025
203,20400,201019
204,20500,201978
205,20600,202969
206,20700,204116
207,20800,204943
208,20900,205927
209,21000,207370
210,21100,208290
211,21200,209153
212,21300,210088
213,21400,211060
214,21500,212195
215,21600,213823
216,21700,215258
217,21800,216133
218,21900,217418
219,22000,218132
220,22100,219199
221,22200,220045
222,22300,220719
223,22400,221373
224,22500,221923
225,22600,222398
226,22700,223239
227,22800,224260
228,22900,225497
229,23000,226812
230,23100,227393
231,23200,227950
232,23300,229065
233,23400,230414
234,23500,231607
235,23600,232463
236,23700,233686
237,23800,234591
238,23900,235453
239,24000,236527
240,24100,237234
241,24200,237867
242,24300,238830
243,24400,239690
244,24500,240554
245,24600,241621
246,24700,242740
247,24800,243840
248,24900,244853
249,25000,245583
250,25100,246288
251,25200,247076
252,25300,247612
253,25400,248718
254,25500,249658
255,25600,250672
256,25700,251730
257,25800,252532
258,25900,253430
259,26000,254574
260,26100,255276
261,26200,256322
262,26300,257349
263,26400,258579
264,26500,259772
265,26600,260871
266,26700,262437
267,26800,263324
268,26900,263876
269,27000,264853
270,27100,265829
271,27200,266683
272,27300,267383
273,27400,268063
274,27500,268838
275,27600,269813
276,27700,271143
277,27800,272549
278,27900,273600
279,28000,274478
280,28100,275143
281,28200,275812
282,28300,276594
283,28400,277809
284,28500,279167
285,28600,280461
286,28700,281326
287,28800,281733
288,28900,282286
289,29000,282907
290,29100,283730
291,29200,284938
292,29300,286140
293,29400,287555
294,29500,288620
295,29600,289432
296,29700,290285
297,29800,291432
298,29900,292861
299,30000,294370
300,30100,296028
301,30200,297668
302,30300,299645
303,30400,300925
304,30500,302083
305,30600,302909
306,30700,304294
307,30800,306020
308,30900,307798
309,31000,309292
310,31100,310806
311,31200,312337
312,31300,313692
313,31400,314766
314,31500,315957
315,31600,317309
316,31700,318959
317,31800,320335
318,31900,321805
319,32000,323636
320,32100,324662
321,32200,326030
