,step_history,queue_history
0,100,0
1,200,0
2,300,0
3,400,1
4,500,2
5,600,3
6,700,6
7,800,6
8,900,9
9,1000,10
10,1100,11
11,1200,12
12,1300,13
13,1400,19
14,1500,22
15,1600,25
16,1700,25
17,1800,27
18,1900,25
19,2000,25
20,2100,24
21,2200,27
22,2300,29
23,2400,32
24,2500,23
25,2600,14
26,2700,9
27,2800,16
28,2900,21
29,3000,23
30,3100,17
31,3200,26
32,3300,26
33,3400,24
34,3500,20
35,3600,23
36,3700,25
37,3800,26
38,3900,28
39,4000,28
40,4100,32
41,4200,36
42,4300,32
43,4400,32
44,4500,28
45,4600,32
46,4700,31
47,4800,31
48,4900,20
49,5000,14
50,5100,11
51,5200,20
52,5300,20
53,5400,19
54,5500,15
55,5600,21
56,5700,21
57,5800,18
58,5900,22
59,6000,21
60,6100,23
61,6200,24
62,6300,27
63,6400,30
64,6500,30
65,6600,30
66,6700,25
67,6800,27
68,6900,25
69,7000,24
70,7100,26
71,7200,32
72,7300,27
73,7400,16
74,7500,11
75,7600,16
76,7700,16
77,7800,15
78,7900,17
79,8000,24
80,8100,20
81,8200,16
82,8300,19
83,8400,23
84,8500,21
85,8600,17
86,8700,16
87,8800,15
88,8900,19
89,9000,20
90,9100,19
91,9200,21
92,9300,24
93,9400,24
94,9500,28
95,9600,29
96,9700,22
97,9800,17
98,9900,11
99,10000,18
100,10100,15
101,10200,17
102,10300,18
103,10400,22
104,10500,23
105,10600,18
106,10700,20
107,10800,23
108,10900,20
109,11000,22
110,11100,26
111,11200,30
112,11300,34
113,11400,31
114,11500,30
115,11600,32
116,11700,32
117,11800,35
118,11900,36
119,12000,41
120,12100,28
121,12200,17
122,12300,11
123,12400,20
124,12500,24
125,12600,24
126,12700,19
127,12800,23
128,12900,27
129,13000,26
130,13100,26
131,13200,24
132,13300,23
133,13400,24
134,13500,30
135,13600,31
136,13700,34
137,13800,36
138,13900,31
139,14000,33
140,14100,27
141,14200,34
142,14300,33
143,14400,37
144,14500,29
145,14600,22
146,14700,15
147,14800,19
148,14900,19
149,15000,23
150,15100,20
151,15200,25
152,15300,22
153,15400,24
154,15500,25
155,15600,23
156,15700,23
157,15800,23
158,15900,26
159,16000,29
160,16100,30
161,16200,29
162,16300,24
163,16400,26
164,16500,23
165,16600,26
166,16700,29
167,16800,33
168,16900,27
169,17000,22
170,17100,17
171,17200,25
172,17300,20
173,17400,25
174,17500,23
175,17600,30
176,17700,30
177,17800,30
178,17900,28
179,18000,33
180,18100,34
181,18200,32
182,18300,33
183,18400,36
184,18500,39
185,18600,40
186,18700,37
187,18800,37
188,18900,33
189,19000,37
190,19100,40
191,19200,42
192,19300,34
193,19400,29
194,19500,17
195,19600,20
196,19700,22
197,19800,27
198,19900,21
199,20000,24
200,20100,22
201,20200,19
202,20300,19
203,20400,22
204,20500,25
205,20600,23
206,20700,22
207,20800,26
208,20900,28
209,21000,28
210,21100,28
211,21200,25
212,21300,26
213,21400,31
214,21500,36
215,21600,35
216,21700,23
217,21800,17
218,21900,7
219,22000,17
220,22100,22
221,22200,22
222,22300,19
223,22400,24
224,22500,24
225,22600,18
226,22700,21
227,22800,18
228,22900,21
229,23000,19
230,23100,27
231,23200,27
232,23300,29
233,23400,33
234,23500,27
235,23600,28
236,23700,27
237,23800,33
238,23900,34
239,24000,37
240,24100,26
241,24200,14
242,24300,13
243,24400,15
244,24500,19
245,24600,20
246,24700,20
247,24800,24
248,24900,24
249,25000,23
250,25100,22
251,25200,23
252,25300,23
253,25400,23
254,25500,24
255,25600,29
256,25700,30
257,25800,34
258,25900,30
259,26000,31
260,26100,30
261,26200,29
262,26300,31
263,26400,35
264,26500,29
265,26600,21
266,26700,13
267,26800,21
268,26900,22
269,27000,26
270,27100,22
