,step_history,vehicle_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,22
5,600,28
6,700,34
7,800,38
8,900,44
9,1000,45
10,1100,47
11,1200,52
12,1300,54
13,1400,57
14,1500,60
15,1600,68
16,1700,73
17,1800,79
18,1900,81
19,2000,80
20,2100,83
21,2200,84
22,2300,86
23,2400,90
24,2500,90
25,2600,92
26,2700,87
27,2800,83
28,2900,87
29,3000,95
30,3100,100
31,3200,104
32,3300,104
33,3400,96
34,3500,87
35,3600,83
36,3700,87
37,3800,88
38,3900,90
39,4000,86
40,4100,85
41,4200,84
42,4300,80
43,4400,79
44,4500,79
45,4600,83
46,4700,84
47,4800,86
48,4900,83
49,5000,85
50,5100,88
51,5200,88
52,5300,77
53,5400,80
54,5500,77
55,5600,77
56,5700,75
57,5800,78
58,5900,82
59,6000,86
60,6100,91
61,6200,91
62,6300,90
63,6400,88
64,6500,90
65,6600,94
66,6700,99
67,6800,99
68,6900,96
69,7000,92
70,7100,84
71,7200,84
72,7300,86
73,7400,86
74,7500,91
75,7600,93
76,7700,95
77,7800,90
78,7900,85
79,8000,90
80,8100,94
81,8200,90
82,8300,90
83,8400,88
84,8500,91
85,8600,92
86,8700,88
87,8800,87
88,8900,90
89,9000,91
90,9100,96
91,9200,90
92,9300,91
93,9400,91
94,9500,89
95,9600,93
96,9700,95
97,9800,94
98,9900,94
99,10000,88
100,10100,88
101,10200,89
102,10300,95
103,10400,90
104,10500,84
105,10600,88
106,10700,85
107,10800,83
108,10900,88
109,11000,90
110,11100,95
111,11200,94
112,11300,96
113,11400,86
114,11500,88
115,11600,89
116,11700,93
117,11800,92
118,11900,92
119,12000,89
120,12100,85
121,12200,83
122,12300,85
123,12400,86
124,12500,91
125,12600,96
126,12700,95
127,12800,95
128,12900,99
129,13000,101
130,13100,101
131,13200,100
132,13300,103
133,13400,105
134,13500,105
135,13600,106
136,13700,109
137,13800,102
138,13900,94
139,14000,86
140,14100,86
141,14200,88
142,14300,91
143,14400,94
144,14500,98
145,14600,100
146,14700,104
147,14800,104
148,14900,103
149,15000,108
150,15100,110
151,15200,110
152,15300,95
153,15400,94
154,15500,86
155,15600,80
156,15700,81
157,15800,87
158,15900,88
159,16000,90
160,16100,93
161,16200,96
162,16300,97
163,16400,92
164,16500,93
165,16600,97
166,16700,100
167,16800,102
168,16900,103
169,17000,101
170,17100,103
171,17200,105
172,17300,99
173,17400,102
174,17500,104
175,17600,103
176,17700,105
177,17800,107
178,17900,112
179,18000,115
180,18100,113
181,18200,114
182,18300,116
183,18400,115
184,18500,113
185,18600,114
186,18700,107
187,18800,105
188,18900,105
189,19000,97
190,19100,95
191,19200,94
192,19300,90
193,19400,90
194,19500,90
195,19600,93
196,19700,92
197,19800,89
198,19900,88
199,20000,91
200,20100,89
201,20200,92
202,20300,92
203,20400,93
204,20500,95
205,20600,91
206,20700,91
207,20800,91
208,20900,89
209,21000,90
210,21100,89
211,21200,92
212,21300,91
213,21400,94
214,21500,92
215,21600,89
216,21700,85
217,21800,85
218,21900,87
219,22000,88
220,22100,88
221,22200,91
222,22300,89
223,22400,82
224,22500,75
225,22600,70
226,22700,69
227,22800,70
228,22900,74
229,23000,79
230,23100,86
231,23200,88
232,23300,92
233,23400,91
234,23500,92
235,23600,98
236,23700,98
237,23800,97
238,23900,92
239,24000,92
240,24100,88
241,24200,84
242,24300,83
243,24400,83
244,24500,82
245,24600,82
246,24700,83
247,24800,82
248,24900,80
249,25000,83
250,25100,88
251,25200,88
252,25300,88
253,25400,89
254,25500,93
255,25600,95
256,25700,98
257,25800,96
258,25900,83
259,26000,82
260,26100,81
261,26200,75
262,26300,77
263,26400,81
264,26500,85
265,26600,89
266,26700,90
267,26800,86
268,26900,89
269,27000,90
270,27100,94
271,27200,94
272,27300,93
273,27400,93
274,27500,90
275,27600,81
276,27700,77
277,27800,81
278,27900,83
279,28000,84
280,28100,85
281,28200,89
282,28300,87
283,28400,85
284,28500,87
285,28600,87
286,28700,93
287,28800,98
288,28900,95
289,29000,94
290,29100,89
291,29200,89
292,29300,83
293,29400,80
294,29500,84
295,29600,90
296,29700,93
297,29800,95
298,29900,98
299,30000,97
300,30100,94
301,30200,95
302,30300,100
303,30400,105
304,30500,106
305,30600,105
306,30700,101
307,30800,104
308,30900,110
309,31000,111
310,31100,101
311,31200,103
312,31300,97
313,31400,96
314,31500,96
315,31600,98
316,31700,102
317,31800,104
318,31900,103
319,32000,108
320,32100,109
321,32200,104
322,32300,104
323,32400,105
324,32500,105
325,32600,101
326,32700,103
327,32800,101
328,32900,100
329,33000,96
330,33100,96
331,33200,97
332,33300,91
333,33400,95
334,33500,99
335,33600,96
336,33700,101
337,33800,106
338,33900,105
339,34000,103
340,34100,102
341,34200,106
342,34300,104
343,34400,98
344,34500,90
345,34600,86
346,34700,87
347,34800,86
348,34900,88
349,35000,89
350,35100,92
351,35200,95
352,35300,96
353,35400,86
354,35500,90
355,35600,91
356,35700,95
357,35800,91
358,35900,90
359,36000,88
360,36100,86
361,36200,84
362,36300,82
363,36400,82
364,36500,83
365,36600,88
366,36700,89
