,step_history,vehicle_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,21
5,600,26
6,700,30
7,800,34
8,900,38
9,1000,42
10,1100,44
11,1200,46
12,1300,47
13,1400,49
14,1500,49
15,1600,52
16,1700,57
17,1800,60
18,1900,61
19,2000,65
20,2100,70
21,2200,71
22,2300,70
23,2400,67
24,2500,69
25,2600,71
26,2700,74
27,2800,73
28,2900,77
29,3000,78
30,3100,82
31,3200,86
32,3300,89
33,3400,86
34,3500,84
35,3600,83
36,3700,83
37,3800,88
38,3900,89
39,4000,83
40,4100,86
41,4200,89
42,4300,84
43,4400,77
44,4500,80
45,4600,79
46,4700,79
47,4800,74
48,4900,76
49,5000,77
50,5100,77
51,5200,73
52,5300,74
53,5400,77
54,5500,77
55,5600,75
56,5700,75
57,5800,74
58,5900,72
59,6000,69
60,6100,68
61,6200,71
62,6300,70
63,6400,70
64,6500,75
65,6600,79
66,6700,79
67,6800,77
68,6900,65
69,7000,64
70,7100,64
71,7200,63
72,7300,67
73,7400,67
74,7500,68
75,7600,66
76,7700,67
77,7800,70
78,7900,71
79,8000,74
80,8100,77
81,8200,77
82,8300,80
83,8400,81
84,8500,84
85,8600,85
86,8700,77
87,8800,75
88,8900,75
89,9000,74
90,9100,77
91,9200,81
92,9300,82
93,9400,83
94,9500,80
95,9600,77
96,9700,78
97,9800,79
98,9900,84
99,10000,86
100,10100,88
101,10200,88
102,10300,83
103,10400,81
104,10500,85
105,10600,84
106,10700,82
107,10800,84
108,10900,88
109,11000,86
110,11100,82
111,11200,83
112,11300,82
113,11400,81
114,11500,82
115,11600,84
116,11700,86
117,11800,88
118,11900,89
119,12000,91
120,12100,96
121,12200,97
122,12300,102
123,12400,98
124,12500,94
125,12600,94
126,12700,96
127,12800,96
128,12900,98
129,13000,100
130,13100,100
131,13200,103
132,13300,97
133,13400,93
134,13500,94
135,13600,95
136,13700,96
137,13800,84
138,13900,87
139,14000,93
140,14100,94
141,14200,97
142,14300,100
143,14400,103
144,14500,99
145,14600,93
146,14700,89
147,14800,95
148,14900,88
149,15000,85
150,15100,86
151,15200,90
152,15300,94
153,15400,91
154,15500,88
155,15600,88
156,15700,90
157,15800,89
158,15900,89
159,16000,89
160,16100,82
161,16200,84
162,16300,87
163,16400,84
164,16500,88
165,16600,86
166,16700,80
167,16800,79
168,16900,80
169,17000,83
170,17100,82
171,17200,79
172,17300,79
173,17400,77
174,17500,75
175,17600,76
176,17700,74
177,17800,80
178,17900,77
179,18000,77
180,18100,80
181,18200,82
182,18300,81
183,18400,79
184,18500,79
185,18600,77
186,18700,74
187,18800,74
188,18900,73
189,19000,73
190,19100,71
191,19200,73
192,19300,69
193,19400,69
194,19500,65
195,19600,61
196,19700,65
197,19800,68
198,19900,70
199,20000,67
200,20100,63
201,20200,65
202,20300,68
203,20400,72
204,20500,70
205,20600,73
206,20700,68
207,20800,73
208,20900,75
209,21000,77
210,21100,81
211,21200,79
212,21300,76
213,21400,72
214,21500,76
215,21600,79
216,21700,81
217,21800,85
218,21900,89
219,22000,95
220,22100,85
221,22200,84
222,22300,82
223,22400,86
224,22500,87
225,22600,89
226,22700,86
227,22800,86
228,22900,86
229,23000,84
230,23100,81
231,23200,79
232,23300,80
233,23400,81
234,23500,82
235,23600,86
236,23700,88
237,23800,92
238,23900,95
239,24000,96
240,24100,88
241,24200,85
242,24300,82
243,24400,76
244,24500,72
245,24600,73
246,24700,78
247,24800,78
248,24900,79
249,25000,76
250,25100,78
251,25200,81
252,25300,83
253,25400,87
254,25500,88
255,25600,88
256,25700,85
257,25800,82
258,25900,78
259,26000,80
260,26100,82
261,26200,86
262,26300,88
263,26400,89
264,26500,84
265,26600,79
266,26700,76
267,26800,80
268,26900,85
269,27000,89
270,27100,91
271,27200,91
272,27300,82
273,27400,76
274,27500,79
275,27600,78
276,27700,81
277,27800,85
278,27900,80
279,28000,77
280,28100,77
281,28200,76
282,28300,73
283,28400,75
284,28500,70
285,28600,63
286,28700,58
287,28800,57
288,28900,58
289,29000,60
290,29100,61
291,29200,66
292,29300,66
293,29400,64
294,29500,66
295,29600,67
296,29700,71
297,29800,72
298,29900,75
299,30000,70
300,30100,67
301,30200,68
302,30300,70
303,30400,70
304,30500,66
305,30600,67
306,30700,66
307,30800,67
308,30900,68
309,31000,62
310,31100,62
311,31200,64
312,31300,68
313,31400,70
314,31500,76
315,31600,77
316,31700,70
317,31800,67
318,31900,63
319,32000,66
320,32100,67
321,32200,69
322,32300,68
323,32400,67
324,32500,65
325,32600,67
326,32700,70
327,32800,70
328,32900,74
329,33000,70
330,33100,74
331,33200,74
332,33300,74
333,33400,78
334,33500,79
335,33600,79
336,33700,79
337,33800,81
338,33900,78
339,34000,80
340,34100,81
341,34200,88
342,34300,91
343,34400,97
344,34500,98
345,34600,90
346,34700,85
347,34800,86
348,34900,88
349,35000,88
350,35100,89
351,35200,92
352,35300,86
353,35400,80
354,35500,75
355,35600,77
356,35700,76
357,35800,83
358,35900,80
359,36000,77
360,36100,73
361,36200,69
362,36300,65
363,36400,66
364,36500,70
365,36600,71
366,36700,72
367,36800,67
368,36900,71
369,37000,74
370,37100,74
371,37200,75
372,37300,78
373,37400,73
374,37500,66
375,37600,63
376,37700,65
377,37800,67
378,37900,69
379,38000,65
380,38100,69
381,38200,65
382,38300,63
383,38400,63
384,38500,66
385,38600,65
386,38700,65
387,38800,67
388,38900,70
389,39000,68
390,39100,66
391,39200,68
392,39300,65
393,39400,67
394,39500,71
395,39600,72
396,39700,73
397,39800,77
398,39900,83
399,40000,83
