,step_history,vehicle_history
0,100,4
1,200,9
2,300,12
3,400,17
4,500,22
5,600,28
6,700,34
7,800,38
8,900,44
9,1000,47
10,1100,47
11,1200,49
12,1300,54
13,1400,57
14,1500,59
15,1600,66
16,1700,69
17,1800,77
18,1900,77
19,2000,81
20,2100,87
21,2200,88
22,2300,84
23,2400,82
24,2500,85
25,2600,89
26,2700,87
27,2800,90
28,2900,92
29,3000,90
30,3100,87
31,3200,89
32,3300,91
33,3400,95
34,3500,97
35,3600,99
36,3700,101
37,3800,90
38,3900,85
39,4000,81
40,4100,83
41,4200,82
42,4300,81
43,4400,79
44,4500,75
45,4600,81
46,4700,83
47,4800,82
48,4900,82
49,5000,88
50,5100,87
51,5200,91
52,5300,89
53,5400,93
54,5500,89
55,5600,89
56,5700,89
57,5800,87
58,5900,87
59,6000,92
60,6100,95
61,6200,97
62,6300,98
63,6400,93
64,6500,92
65,6600,89
66,6700,91
67,6800,92
68,6900,91
69,7000,93
70,7100,93
71,7200,87
72,7300,84
73,7400,81
74,7500,85
75,7600,87
76,7700,88
77,7800,85
78,7900,81
79,8000,86
80,8100,85
81,8200,90
82,8300,90
83,8400,94
84,8500,93
85,8600,90
86,8700,88
87,8800,89
88,8900,94
89,9000,95
90,9100,97
91,9200,94
92,9300,87
93,9400,86
94,9500,86
95,9600,93
96,9700,98
97,9800,100
98,9900,101
99,10000,96
100,10100,98
101,10200,91
102,10300,88
103,10400,84
104,10500,89
105,10600,92
106,10700,92
107,10800,93
108,10900,97
109,11000,100
110,11100,99
111,11200,101
112,11300,99
113,11400,100
114,11500,96
115,11600,98
116,11700,103
117,11800,103
118,11900,95
119,12000,89
120,12100,92
121,12200,97
122,12300,99
123,12400,101
124,12500,107
125,12600,104
126,12700,99
127,12800,97
128,12900,99
129,13000,102
130,13100,99
131,13200,100
132,13300,97
133,13400,93
134,13500,94
135,13600,94
136,13700,96
137,13800,99
138,13900,102
139,14000,104
140,14100,94
141,14200,97
142,14300,98
143,14400,92
144,14500,95
145,14600,96
146,14700,101
147,14800,102
148,14900,96
149,15000,96
150,15100,93
151,15200,96
152,15300,94
153,15400,97
154,15500,97
155,15600,93
156,15700,96
157,15800,96
158,15900,92
159,16000,87
160,16100,87
161,16200,92
162,16300,97
163,16400,101
164,16500,100
165,16600,103
166,16700,105
167,16800,108
168,16900,108
169,17000,106
170,17100,101
171,17200,98
172,17300,101
173,17400,106
174,17500,108
175,17600,110
176,17700,109
177,17800,112
178,17900,109
179,18000,105
180,18100,101
181,18200,93
182,18300,95
183,18400,99
184,18500,106
185,18600,110
186,18700,110
187,18800,106
188,18900,102
189,19000,101
190,19100,98
191,19200,100
192,19300,100
193,19400,102
194,19500,102
195,19600,103
196,19700,102
197,19800,93
198,19900,92
199,20000,91
200,20100,86
201,20200,89
202,20300,89
203,20400,91
204,20500,96
205,20600,91
206,20700,96
207,20800,97
208,20900,97
209,21000,97
210,21100,94
211,21200,96
212,21300,95
213,21400,93
214,21500,88
215,21600,89
216,21700,88
217,21800,90
218,21900,85
219,22000,83
220,22100,87
221,22200,90
222,22300,93
223,22400,92
224,22500,96
225,22600,95
226,22700,90
227,22800,86
228,22900,87
229,23000,89
230,23100,95
231,23200,100
232,23300,103
233,23400,100
234,23500,95
235,23600,86
236,23700,86
237,23800,85
238,23900,88
239,24000,93
240,24100,93
241,24200,96
242,24300,93
243,24400,92
244,24500,93
245,24600,89
246,24700,91
247,24800,96
248,24900,93
249,25000,93
250,25100,98
251,25200,97
252,25300,91
253,25400,87
254,25500,89
255,25600,88
256,25700,91
257,25800,88
258,25900,92
259,26000,98
260,26100,101
261,26200,102
262,26300,100
263,26400,93
264,26500,88
265,26600,85
266,26700,88
267,26800,88
268,26900,90
269,27000,92
270,27100,90
271,27200,87
272,27300,85
273,27400,88
274,27500,89
275,27600,91
276,27700,94
277,27800,91
278,27900,90
279,28000,85
280,28100,87
281,28200,87
282,28300,88
283,28400,94
284,28500,96
285,28600,95
286,28700,94
287,28800,97
288,28900,99
289,29000,97
290,29100,96
291,29200,94
292,29300,92
293,29400,93
294,29500,97
295,29600,101
296,29700,101
297,29800,101
298,29900,105
299,30000,109
300,30100,111
301,30200,111
302,30300,105
303,30400,109
304,30500,104
305,30600,103
306,30700,107
307,30800,112
308,30900,116
309,31000,115
310,31100,113
311,31200,112
312,31300,112
313,31400,108
314,31500,106
315,31600,105
316,31700,110
317,31800,112
318,31900,110
319,32000,109
320,32100,105
321,32200,100
322,32300,100
323,32400,96
324,32500,98
325,32600,101
326,32700,103
327,32800,103
328,32900,99
329,33000,96
330,33100,94
331,33200,91
332,33300,86
333,33400,91
334,33500,97
335,33600,98
336,33700,98
337,33800,98
338,33900,98
339,34000,96
340,34100,95
341,34200,95
342,34300,96
343,34400,93
344,34500,95
345,34600,99
346,34700,97
347,34800,97
348,34900,102
349,35000,101
350,35100,102
351,35200,96
352,35300,93
353,35400,97
354,35500,97
355,35600,94
356,35700,97
357,35800,98
358,35900,103
359,36000,98
360,36100,99
361,36200,101
362,36300,101
363,36400,94
364,36500,98
365,36600,100
366,36700,105
