,step_history,waiting_history
0,100,4
1,200,8
2,300,11
3,400,87
4,500,289
5,600,494
6,700,617
7,800,889
8,900,1232
9,1000,1616
10,1100,1920
11,1200,2261
12,1300,2692
13,1400,3185
14,1500,3898
15,1600,4769
16,1700,5250
17,1800,5858
18,1900,6462
19,2000,7020
20,2100,8015
21,2200,8949
22,2300,9502
23,2400,9965
24,2500,10479
25,2600,11045
26,2700,11709
27,2800,12434
28,2900,13348
29,3000,14482
30,3100,15800
31,3200,17028
32,3300,18077
33,3400,18978
34,3500,20005
35,3600,20975
36,3700,22252
37,3800,23550
38,3900,24891
39,4000,25452
40,4100,26372
41,4200,27213
42,4300,28096
43,4400,28812
44,4500,29708
45,4600,30642
46,4700,31460
47,4800,32347
48,4900,33602
49,5000,34509
50,5100,35236
51,5200,35885
52,5300,36428
53,5400,37084
54,5500,37509
55,5600,38306
56,5700,39261
57,5800,39927
58,5900,40278
59,6000,40905
60,6100,41733
61,6200,42271
62,6300,43321
63,6400,44025
64,6500,44646
65,6600,45661
66,6700,46526
67,6800,47178
68,6900,47899
69,7000,48615
70,7100,49118
71,7200,50073
72,7300,50980
73,7400,51224
74,7500,51522
75,7600,51893
76,7700,52324
77,7800,52821
78,7900,53266
79,8000,54215
80,8100,55069
81,8200,55994
82,8300,56647
83,8400,57546
84,8500,58330
85,8600,59037
86,8700,59901
87,8800,60745
88,8900,61592
89,9000,62558
90,9100,63628
91,9200,64513
92,9300,65230
93,9400,66111
94,9500,67110
95,9600,67862
96,9700,68825
97,9800,69749
98,9900,70510
99,10000,71556
100,10100,73006
101,10200,74184
102,10300,74815
103,10400,75480
104,10500,76104
105,10600,76909
106,10700,77714
107,10800,78809
108,10900,80231
109,11000,81560
110,11100,82900
111,11200,84352
112,11300,85144
113,11400,85952
114,11500,86892
115,11600,87847
116,11700,88988
117,11800,90626
118,11900,91884
119,12000,92650
120,12100,93376
121,12200,94161
122,12300,95167
123,12400,96151
124,12500,97644
125,12600,98989
126,12700,100192
127,12800,101296
128,12900,102325
129,13000,103163
130,13100,104490
131,13200,106186
132,13300,107406
133,13400,108461
134,13500,109473
135,13600,110463
136,13700,111197
137,13800,111817
138,13900,113037
139,14000,114146
140,14100,115314
141,14200,116556
142,14300,117943
143,14400,119275
144,14500,120377
145,14600,121811
146,14700,122522
147,14800,123128
148,14900,123787
149,15000,124777
150,15100,125700
151,15200,126596
152,15300,128004
153,15400,129160
154,15500,129728
155,15600,130393
156,15700,131023
157,15800,131764
158,15900,132647
159,16000,133818
160,16100,135518
161,16200,137194
162,16300,138801
163,16400,140666
164,16500,141833
165,16600,142991
166,16700,144058
167,16800,145218
168,16900,146499
169,17000,147899
170,17100,148949
171,17200,149820
172,17300,150737
173,17400,151641
174,17500,152592
175,17600,153554
176,17700,154384
177,17800,155427
178,17900,157106
179,18000,159276
180,18100,161412
181,18200,162656
182,18300,163775
183,18400,165241
184,18500,166328
185,18600,167205
186,18700,168302
187,18800,169098
188,18900,169754
189,19000,170626
190,19100,171375
191,19200,172239
192,19300,172895
193,19400,173606
194,19500,174697
195,19600,175959
196,19700,177642
197,19800,179280
198,19900,180297
199,20000,181343
200,20100,182490
201,20200,183359
202,20300,184208
203,20400,185177
204,20500,185800
205,20600,186248
206,20700,186906
207,20800,187607
208,20900,188546
209,21000,189685
210,21100,191038
211,21200,192177
212,21300,193111
213,21400,193952
214,21500,194911
215,21600,195606
216,21700,196521
217,21800,197498
218,21900,198227
219,22000,198831
220,22100,199487
221,22200,199997
222,22300,200416
223,22400,201122
224,22500,201717
225,22600,202464
226,22700,203287
227,22800,204433
228,22900,205325
229,23000,206161
230,23100,207177
231,23200,208200
232,23300,208902
233,23400,209778
234,23500,210848
235,23600,211801
236,23700,212748
237,23800,213894
238,23900,215046
239,24000,216027
240,24100,217151
241,24200,218372
242,24300,219356
243,24400,220267
244,24500,221348
245,24600,222522
246,24700,223809
247,24800,225363
248,24900,226664
249,25000,228085
250,25100,229133
251,25200,230167
252,25300,231514
253,25400,232867
254,25500,234106
255,25600,235067
256,25700,235729
257,25800,236641
258,25900,237418
259,26000,238188
260,26100,239159
261,26200,240403
262,26300,241394
263,26400,242826
264,26500,244016
265,26600,244417
266,26700,245151
267,26800,246069
268,26900,246991
269,27000,247938
270,27100,248901
271,27200,249815
272,27300,250903
273,27400,251893
274,27500,252997
275,27600,254259
276,27700,255738
277,27800,256856
278,27900,257860
279,28000,258464
280,28100,258913
281,28200,259560
282,28300,260535
283,28400,261724
284,28500,262856
285,28600,263802
286,28700,264671
287,28800,265161
288,28900,265837
289,29000,266677
290,29100,267703
291,29200,268517
292,29300,269169
293,29400,269945
294,29500,270709
295,29600,271385
296,29700,272212
297,29800,273357
298,29900,274283
299,30000,275306
300,30100,276071
301,30200,276692
302,30300,277445
303,30400,278173
304,30500,279112
305,30600,280233
306,30700,281305
307,30800,281980
308,30900,282780
309,31000,283566
310,31100,284301
311,31200,285389
312,31300,286152
313,31400,286968
314,31500,287908
315,31600,288440
316,31700,289414
317,31800,290711
318,31900,292106
319,32000,293472
320,32100,294539
321,32200,295333
322,32300,296226
323,32400,297030
324,32500,297589
325,32600,298239
326,32700,299165
327,32800,299940
328,32900,300399
329,33000,301000
330,33100,301642
331,33200,302476
332,33300,303426
333,33400,304525
334,33500,305254
335,33600,306038
336,33700,306829
337,33800,307843
338,33900,308830
339,34000,310029
340,34100,311529
341,34200,312597
342,34300,313431
343,34400,314496
344,34500,315670
345,34600,316262
346,34700,317149
347,34800,318119
348,34900,319045
349,35000,319605
350,35100,320305
351,35200,321365
352,35300,322400
353,35400,323561
354,35500,325092
355,35600,325966
356,35700,326721
357,35800,327764
358,35900,328641
359,36000,329207
360,36100,330001
361,36200,330563
362,36300,330840
363,36400,331390
364,36500,331876
365,36600,332265
366,36700,332899
367,36800,333644
368,36900,334470
369,37000,335174
370,37100,335720
371,37200,336456
372,37300,337031
373,37400,337872
374,37500,338609
375,37600,339524
376,37700,340295
377,37800,341186
378,37900,341770
379,38000,342250
380,38100,342907
381,38200,343772
382,38300,344574
383,38400,345341
384,38500,346040
385,38600,347027
386,38700,347880
387,38800,348541
388,38900,349306
389,39000,350090
390,39100,350484
391,39200,350923
392,39300,351601
393,39400,352261
394,39500,353027
395,39600,353805
396,39700,354650
397,39800,355706
398,39900,356748
399,40000,357589
