,step_history,waiting_history
0,100,4
1,200,8
2,300,11
3,400,16
4,500,145
5,600,478
6,700,904
7,800,1180
8,900,1425
9,1000,1679
10,1100,2117
11,1200,2913
12,1300,3456
13,1400,3691
14,1500,3859
15,1600,4164
16,1700,4841
17,1800,5389
18,1900,5829
19,2000,6243
20,2100,6893
21,2200,7580
22,2300,8376
23,2400,9411
24,2500,10366
25,2600,10947
26,2700,11678
27,2800,12425
28,2900,13022
29,3000,13934
30,3100,14827
31,3200,15803
32,3300,17292
33,3400,18258
34,3500,18958
35,3600,19616
36,3700,20055
37,3800,21009
38,3900,22174
39,4000,23062
40,4100,23805
41,4200,24712
42,4300,25475
43,4400,26504
44,4500,27883
45,4600,29117
46,4700,30629
47,4800,31832
48,4900,32454
49,5000,33194
50,5100,33967
51,5200,34944
52,5300,36075
53,5400,36772
54,5500,37486
55,5600,37860
56,5700,38296
57,5800,38959
58,5900,39706
59,6000,40766
60,6100,41294
61,6200,41814
62,6300,42587
63,6400,43095
64,6500,43909
65,6600,44912
66,6700,45880
67,6800,46754
68,6900,47268
69,7000,47540
70,7100,47773
71,7200,48329
72,7300,49260
73,7400,49784
74,7500,50853
75,7600,51819
76,7700,52041
77,7800,52345
78,7900,52735
79,8000,53230
80,8100,54060
81,8200,54922
82,8300,55703
83,8400,56694
84,8500,57605
85,8600,58568
86,8700,59538
87,8800,60486
88,8900,61672
89,9000,62891
90,9100,64032
91,9200,64691
92,9300,64992
93,9400,65708
94,9500,66473
95,9600,67764
96,9700,69113
97,9800,69925
98,9900,70493
99,10000,70745
100,10100,71090
101,10200,71847
102,10300,73121
103,10400,74510
104,10500,75997
105,10600,77115
106,10700,77618
107,10800,78292
108,10900,79325
109,11000,80640
110,11100,81777
111,11200,83245
112,11300,84470
113,11400,85267
114,11500,85961
115,11600,86856
116,11700,87842
117,11800,89009
118,11900,90614
119,12000,91724
120,12100,92396
121,12200,93107
122,12300,93908
123,12400,94761
124,12500,96125
125,12600,97407
126,12700,98618
127,12800,100016
128,12900,101360
129,13000,102665
130,13100,103691
131,13200,104535
132,13300,105336
133,13400,106332
134,13500,107196
135,13600,107763
136,13700,108808
137,13800,110275
138,13900,111724
139,14000,112661
140,14100,113522
141,14200,114255
142,14300,115321
143,14400,116666
144,14500,118258
145,14600,119390
146,14700,120409
147,14800,121697
148,14900,122727
149,15000,123709
150,15100,125028
151,15200,126146
152,15300,127479
153,15400,128986
154,15500,130167
155,15600,131234
156,15700,132311
157,15800,133492
158,15900,134859
159,16000,136135
160,16100,137416
161,16200,138790
162,16300,139785
163,16400,140687
164,16500,141416
165,16600,142287
166,16700,143029
167,16800,144232
168,16900,145292
169,17000,146500
170,17100,147430
171,17200,148013
172,17300,148979
173,17400,150109
174,17500,151125
175,17600,152278
176,17700,153478
177,17800,154194
178,17900,154967
179,18000,155856
180,18100,156450
181,18200,157503
182,18300,158570
183,18400,159665
184,18500,160462
185,18600,161299
186,18700,161968
187,18800,162560
188,18900,163233
189,19000,164062
190,19100,164940
191,19200,165690
192,19300,166228
193,19400,166740
194,19500,167622
195,19600,168637
196,19700,169468
197,19800,170476
198,19900,170899
199,20000,171189
200,20100,171620
201,20200,172391
202,20300,173222
203,20400,173694
204,20500,174449
205,20600,175186
206,20700,175843
207,20800,176639
208,20900,177569
209,21000,178841
210,21100,179696
211,21200,180528
212,21300,181351
213,21400,182177
214,21500,183368
215,21600,184333
216,21700,184987
217,21800,185566
218,21900,186259
219,22000,187472
220,22100,188587
221,22200,189751
222,22300,190737
223,22400,191577
224,22500,192206
225,22600,192965
226,22700,194094
227,22800,195204
228,22900,196176
229,23000,197424
230,23100,198505
231,23200,199477
232,23300,200606
233,23400,201648
234,23500,202518
235,23600,203156
236,23700,203971
237,23800,205071
238,23900,206116
239,24000,207453
240,24100,208696
241,24200,209678
242,24300,210664
243,24400,211355
244,24500,212402
245,24600,213424
246,24700,214390
247,24800,214752
248,24900,215166
249,25000,215880
250,25100,216700
251,25200,217513
252,25300,218609
253,25400,219500
254,25500,220481
255,25600,221557
256,25700,222879
257,25800,224209
258,25900,225376
259,26000,226525
260,26100,227548
261,26200,228458
262,26300,229477
263,26400,230108
264,26500,230785
265,26600,231627
266,26700,232951
267,26800,234206
268,26900,235500
269,27000,236623
270,27100,237487
271,27200,238631
272,27300,239988
273,27400,241219
274,27500,242742
275,27600,243967
276,27700,244824
277,27800,245785
278,27900,246560
279,28000,247516
280,28100,248297
281,28200,249608
282,28300,250675
283,28400,251379
284,28500,251943
285,28600,252569
286,28700,253227
287,28800,253973
288,28900,254356
289,29000,254548
290,29100,254852
291,29200,255329
292,29300,256283
293,29400,257573
294,29500,258290
295,29600,259009
296,29700,259585
297,29800,260436
298,29900,261519
299,30000,262630
300,30100,263263
301,30200,263727
302,30300,263992
303,30400,264177
304,30500,264671
305,30600,265551
306,30700,266411
307,30800,267418
308,30900,268059
309,31000,268723
310,31100,269478
311,31200,269980
312,31300,270543
313,31400,271100
314,31500,271861
315,31600,272544
316,31700,273385
317,31800,274351
318,31900,275250
319,32000,276376
320,32100,276764
321,32200,277525
322,32300,278595
323,32400,279596
324,32500,280550
325,32600,281293
326,32700,281867
327,32800,282139
328,32900,282947
329,33000,284118
330,33100,284950
331,33200,285394
332,33300,286023
333,33400,286644
334,33500,287441
335,33600,288565
336,33700,289772
337,33800,290542
338,33900,291409
339,34000,292109
340,34100,292432
341,34200,293302
342,34300,294318
343,34400,295349
344,34500,296031
345,34600,296679
346,34700,297653
347,34800,298321
348,34900,299451
349,35000,300639
350,35100,301646
351,35200,302557
352,35300,303722
353,35400,304486
354,35500,305088
355,35600,305818
356,35700,306817
357,35800,307866
358,35900,308696
359,36000,309317
360,36100,309991
361,36200,310997
362,36300,312131
363,36400,313421
364,36500,314330
365,36600,315230
366,36700,315809
367,36800,316530
368,36900,316996
369,37000,317547
370,37100,318407
371,37200,319261
372,37300,320040
373,37400,320892
374,37500,322001
375,37600,322917
376,37700,323735
377,37800,324669
378,37900,325631
379,38000,326721
380,38100,327639
381,38200,328747
382,38300,329619
383,38400,330330
384,38500,330975
385,38600,331633
386,38700,332686
387,38800,333650
388,38900,334518
389,39000,335107
390,39100,335511
391,39200,335940
392,39300,336779
393,39400,337545
394,39500,338569
395,39600,339095
396,39700,339559
397,39800,340068
398,39900,341031
399,40000,342095
