,step_history,emissions_history
0,100,20.104318942727048
1,200,55.18281677877749
2,300,102.36454667673559
3,400,108.96484245693486
4,500,118.36586682935543
5,600,165.06613252430168
6,700,186.40046423076228
7,800,229.968403241533
8,900,196.1699440155555
9,1000,208.61936422919212
10,1100,270.0957292634207
11,1200,245.1453751637118
12,1300,216.3039372422769
13,1400,192.8835202385303
14,1500,142.9461447524124
15,1600,178.81710023814094
16,1700,220.33203740509347
17,1800,236.57594065485233
18,1900,220.89637994142154
19,2000,248.05587057471968
20,2100,269.85260923520906
21,2200,250.90731741295141
22,2300,277.56766305832775
23,2400,223.7829406853269
24,2500,260.639844679326
25,2600,542.8020686201336
26,2700,461.68239510960956
27,2800,378.5901223676429
28,2900,438.0010371511565
29,3000,486.3190247823212
30,3100,463.6343447248174
31,3200,504.33218222849894
32,3300,562.5570089631537
33,3400,409.59581885074556
34,3500,583.740304475349
35,3600,547.3247788152771
36,3700,357.3125402126427
37,3800,365.33761485704633
38,3900,328.52905642862464
39,4000,291.9201017063735
40,4100,299.71906578416565
41,4200,324.80154520418904
42,4300,307.0863924135712
43,4400,418.41881203968154
44,4500,421.26726028772725
45,4600,381.7603666591134
46,4700,254.0491411507672
47,4800,218.33960810745455
48,4900,307.7978887797468
49,5000,524.1161488056324
50,5100,373.749201002225
51,5200,448.5186261651867
52,5300,312.01003103155097
53,5400,447.0051810137522
54,5500,291.50227048442247
55,5600,329.65697845268835
56,5700,422.6680162256936
57,5800,472.81180438864453
58,5900,477.92954838070597
59,6000,425.62727177113595
60,6100,421.64617256242985
61,6200,456.9177641860289
62,6300,341.3781032445968
63,6400,293.3800703541583
64,6500,301.8800606252927
65,6600,257.9564882360582
66,6700,305.70946224470123
67,6800,388.5565670941917
68,6900,366.8012420913349
69,7000,260.965313323893
70,7100,246.56865505965087
71,7200,238.75745910439034
72,7300,302.2659037980327
73,7400,529.9066545567318
74,7500,477.7659846265959
75,7600,298.7064264796487
76,7700,330.8545213062488
77,7800,374.06634026727363
78,7900,379.3865890078439
79,8000,329.1411438282265
80,8100,465.683941893644
81,8200,546.68599701289
82,8300,522.5945412070548
83,8400,472.2249294844657
84,8500,346.3955286267318
85,8600,395.83842274953156
86,8700,339.9167705810169
87,8800,256.32887728546166
88,8900,234.04752908577345
89,9000,245.89839459302982
90,9100,273.7465976247091
91,9200,326.0121195886483
92,9300,395.0730619411994
93,9400,310.3820502141369
94,9500,309.56792754430484
95,9600,231.23221620256078
96,9700,323.13048780697386
97,9800,587.1439777387487
98,9900,623.0122449416973
99,10000,682.650798928097
100,10100,456.85881397773886
101,10200,391.31484812175063
102,10300,535.0473836693964
103,10400,448.1367084500985
104,10500,500.5061522101823
105,10600,628.1681129709505
106,10700,600.098633447574
107,10800,467.72037501210065
108,10900,450.3236884559113
109,11000,547.9469596655374
110,11100,328.60701928154486
111,11200,302.5417858687738
112,11300,353.6777071242298
113,11400,310.0702237046337
114,11500,331.00643956893583
115,11600,430.223052428548
116,11700,483.38683601962674
117,11800,443.61719474746934
118,11900,320.09955214279023
119,12000,307.12675119479877
120,12100,356.3006266795426
121,12200,610.0249685253928
122,12300,588.4630674210332
123,12400,569.9156590192299
124,12500,498.94644955963963
125,12600,374.0140861773632
126,12700,547.8156797841443
127,12800,502.65629086124756
128,12900,583.4543544008936
129,13000,606.2419532490653
130,13100,559.6519358742516
131,13200,520.192314812351
132,13300,559.0922354829345
133,13400,476.03396288838456
134,13500,440.5836659933565
135,13600,304.2646961942687
136,13700,348.2787708208691
137,13800,271.89816687873156
138,13900,343.62069499762816
139,14000,465.7404042365851
140,14100,438.8855305828451
141,14200,318.2285029872542
142,14300,345.52703971492593
143,14400,305.387923057047
144,14500,350.5232739037825
145,14600,567.7426640764605
146,14700,480.8982551277066
147,14800,570.7077905396648
148,14900,375.59432602866923
149,15000,511.21082871365803
150,15100,560.1492705318794
151,15200,549.6609046952237
152,15300,683.7980387687968
153,15400,494.4205761283561
154,15500,476.7710480718445
155,15600,546.0767486930964
156,15700,484.02174847872
157,15800,499.9727045033932
158,15900,449.1890970497699
159,16000,305.2470161930718
160,16100,289.2218740208865
161,16200,237.43113669979
162,16300,286.7033911449571
163,16400,400.5951354130545
164,16500,456.4638792430021
165,16600,333.99200043603247
166,16700,279.1861462005815
167,16800,225.05056575515553
168,16900,348.8034197658415
169,17000,539.5944921270216
170,17100,568.2059433493815
171,17200,391.4135872178904
172,17300,532.493411824597
173,17400,468.6891236656125
174,17500,378.04061845042605
175,17600,396.48047577312605
176,17700,512.8988549026675
177,17800,517.6934437762627
178,17900,390.9790267266549
179,18000,443.26957704611715
180,18100,425.0620615221232
181,18200,437.23695880400436
182,18300,366.87578691255345
183,18400,294.60774025492503
184,18500,275.6829531301149
185,18600,264.04820631388895
186,18700,363.22256614015623
187,18800,482.355248245411
188,18900,446.4035932881694
189,19000,393.18085304581496
190,19100,372.4883119166908
191,19200,256.6858524811992
192,19300,381.703196445187
193,19400,551.0611192209851
194,19500,493.3255832995085
195,19600,496.23385050483665
196,19700,540.148354902018
197,19800,547.2376738966902
198,19900,493.9724751039541
199,20000,438.8375070301961
200,20100,520.120159025097
201,20200,452.85699351997135
202,20300,562.4710954820421
203,20400,521.3678487695561
204,20500,431.2940405612825
205,20600,439.7403399301422
206,20700,299.78610150568596
207,20800,265.2972473930557
208,20900,262.75251290387416
209,21000,219.47077017652092
210,21100,304.8125547240002
211,21200,388.14939490192467
212,21300,368.1886371363038
213,21400,319.0152701913032
214,21500,261.7678528612382
215,21600,262.78322245346027
216,21700,354.84802317225683
217,21800,570.2562315543922
218,21900,688.9455240065575
219,22000,607.9406993323886
220,22100,522.9903109174223
221,22200,593.482458556687
222,22300,417.1653377066105
223,22400,485.79818239728036
224,22500,595.3156725418435
225,22600,505.3566863092649
226,22700,548.7993674503603
227,22800,394.0110214358632
228,22900,341.10800566921785
229,23000,433.3262306879118
230,23100,333.26093315439687
