,step_history,waiting_history
0,100,3
1,200,8
2,300,10
3,400,86
4,500,288
5,600,492
6,700,610
7,800,838
8,900,1180
9,1000,1588
10,1100,2002
11,1200,2590
12,1300,3282
13,1400,4107
14,1500,5083
15,1600,6209
16,1700,6611
17,1800,6990
18,1900,7408
19,2000,7874
20,2100,8499
21,2200,9101
22,2300,9829
23,2400,10381
24,2500,10950
25,2600,11412
26,2700,11670
27,2800,12141
28,2900,12713
29,3000,13143
30,3100,13720
31,3200,14161
32,3300,14602
33,3400,15254
34,3500,15977
35,3600,16741
36,3700,17600
37,3800,18313
38,3900,18658
39,4000,18840
40,4100,19157
41,4200,19702
42,4300,20226
43,4400,20608
44,4500,21423
45,4600,22186
46,4700,22787
47,4800,23553
48,4900,24261
49,5000,25290
50,5100,25612
51,5200,25967
52,5300,26474
53,5400,27287
54,5500,27850
55,5600,28089
56,5700,28641
57,5800,29372
58,5900,29853
59,6000,30584
60,6100,31352
61,6200,31731
62,6300,32329
63,6400,32997
64,6500,33420
65,6600,33972
66,6700,34316
67,6800,35084
68,6900,35624
69,7000,36175
70,7100,36817
71,7200,37120
72,7300,37815
73,7400,38604
74,7500,39086
75,7600,39396
76,7700,39884
77,7800,40411
78,7900,40975
79,8000,41486
80,8100,42196
81,8200,42981
82,8300,43285
83,8400,43761
84,8500,44256
85,8600,44540
86,8700,44611
87,8800,44793
88,8900,45097
89,9000,45452
90,9100,45898
91,9200,46327
92,9300,46623
93,9400,47100
94,9500,47527
95,9600,47946
96,9700,48444
97,9800,49049
98,9900,49764
99,10000,50367
100,10100,50892
101,10200,51448
102,10300,51849
103,10400,52233
104,10500,52566
105,10600,53100
106,10700,53394
107,10800,53645
108,10900,53905
109,11000,54183
110,11100,54503
111,11200,55060
112,11300,55425
113,11400,55566
114,11500,55720
115,11600,56055
116,11700,56477
117,11800,57104
118,11900,57950
119,12000,58515
120,12100,59134
121,12200,59790
122,12300,60413
123,12400,61138
124,12500,61922
125,12600,62628
126,12700,63187
127,12800,63549
128,12900,63755
129,13000,64247
130,13100,65001
131,13200,65486
132,13300,66361
133,13400,67456
134,13500,68381
135,13600,68812
136,13700,69537
137,13800,70361
138,13900,70855
139,14000,71758
140,14100,72751
141,14200,73818
142,14300,74663
143,14400,75709
144,14500,76532
145,14600,77414
146,14700,78261
147,14800,79230
148,14900,79958
149,15000,80777
150,15100,81560
151,15200,82149
152,15300,82630
153,15400,83418
154,15500,84064
155,15600,84700
156,15700,85650
157,15800,86340
158,15900,86922
159,16000,87426
160,16100,88031
161,16200,88424
162,16300,89461
163,16400,90551
164,16500,91080
165,16600,91631
166,16700,92035
167,16800,92437
168,16900,92908
169,17000,93874
170,17100,94767
171,17200,95380
172,17300,95924
173,17400,96476
174,17500,97019
175,17600,97921
176,17700,98771
177,17800,99509
178,17900,100566
179,18000,101346
180,18100,102247
181,18200,103184
182,18300,103901
183,18400,104471
184,18500,104920
185,18600,105619
186,18700,106413
187,18800,107004
188,18900,107641
189,19000,108371
190,19100,109277
191,19200,110056
192,19300,110960
193,19400,111645
194,19500,112088
195,19600,112345
196,19700,112885
197,19800,113287
198,19900,113659
199,20000,114344
200,20100,114951
201,20200,115394
202,20300,115746
203,20400,116243
204,20500,116667
205,20600,117177
206,20700,117740
207,20800,118112
208,20900,118377
209,21000,118710
210,21100,119047
211,21200,119381
212,21300,119667
213,21400,119955
214,21500,120377
215,21600,120888
216,21700,121457
217,21800,122058
218,21900,122422
219,22000,122661
220,22100,122968
221,22200,123412
222,22300,123781
223,22400,124352
224,22500,124953
225,22600,125497
226,22700,125894
227,22800,126238
228,22900,126550
229,23000,126823
230,23100,127058
231,23200,127718
232,23300,128536
233,23400,128918
234,23500,129227
235,23600,129637
236,23700,129875
237,23800,130363
238,23900,130950
239,24000,131710
240,24100,132627
241,24200,133352
242,24300,133759
243,24400,134533
244,24500,135408
245,24600,136180
246,24700,137000
247,24800,137872
248,24900,138413
249,25000,138835
250,25100,139108
251,25200,139312
252,25300,139673
253,25400,140108
254,25500,140659
255,25600,141173
256,25700,141590
257,25800,141943
258,25900,142672
259,26000,143441
260,26100,144624
261,26200,145502
262,26300,146184
263,26400,146697
264,26500,147347
265,26600,147764
266,26700,148545
267,26800,149784
268,26900,150629
269,27000,151238
270,27100,151659
271,27200,152141
272,27300,152558
273,27400,153320
274,27500,154074
275,27600,154470
276,27700,154812
277,27800,155144
278,27900,155442
279,28000,155797
280,28100,156382
281,28200,156882
282,28300,157219
283,28400,157522
284,28500,157953
285,28600,158395
286,28700,159127
287,28800,159802
288,28900,160409
289,29000,161017
290,29100,161485
291,29200,162023
292,29300,162604
293,29400,163048
294,29500,163497
295,29600,164123
296,29700,164857
297,29800,165443
298,29900,165983
299,30000,166577
300,30100,167229
301,30200,168065
302,30300,168674
303,30400,169163
304,30500,169824
305,30600,170430
306,30700,170851
307,30800,171134
308,30900,171350
309,31000,171880
310,31100,172483
311,31200,173168
312,31300,173929
313,31400,174472
314,31500,174693
315,31600,174799
316,31700,174843
317,31800,174957
318,31900,175397
319,32000,176001
320,32100,176462
321,32200,176982
322,32300,177504
323,32400,178254
324,32500,178366
325,32600,178613
326,32700,179135
327,32800,179796
328,32900,180394
329,33000,180926
330,33100,181352
331,33200,181713
332,33300,182431
333,33400,183255
334,33500,184121
335,33600,184605
336,33700,185027
337,33800,185368
338,33900,185682
339,34000,186187
340,34100,186720
341,34200,187144
342,34300,187499
343,34400,188002
344,34500,188635
345,34600,189217
346,34700,189622
347,34800,190125
348,34900,190927
349,35000,191596
350,35100,192113
351,35200,192871
352,35300,193516
353,35400,194089
354,35500,194867
355,35600,195729
356,35700,196655
357,35800,197407
358,35900,198246
359,36000,198679
360,36100,199043
361,36200,199508
362,36300,200119
363,36400,200816
364,36500,201535
365,36600,202123
366,36700,202456
367,36800,202843
368,36900,203425
369,37000,204013
370,37100,204558
371,37200,205123
372,37300,205368
373,37400,205774
374,37500,206346
375,37600,206901
376,37700,207535
377,37800,208336
378,37900,208860
379,38000,209219
380,38100,209679
381,38200,210009
382,38300,210333
383,38400,210857
384,38500,211488
385,38600,211919
386,38700,212365
387,38800,212915
388,38900,213355
389,39000,213678
390,39100,214130
391,39200,214565
392,39300,215038
393,39400,215624
394,39500,216121
395,39600,216614
396,39700,217154
397,39800,217797
398,39900,218642
399,40000,219289
