,step_history,waiting_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,18
5,600,36
6,700,234
7,800,576
8,900,1048
9,1000,1577
10,1100,2241
11,1200,3112
12,1300,3979
13,1400,5100
14,1500,6379
15,1600,7721
16,1700,9031
17,1800,10690
18,1900,11852
19,2000,13417
20,2100,15093
21,2200,17013
22,2300,18888
23,2400,21111
24,2500,21749
25,2600,22555
26,2700,23160
27,2800,23790
28,2900,24571
29,3000,25494
30,3100,26297
31,3200,27194
32,3300,28362
33,3400,29643
34,3500,30975
35,3600,32493
36,3700,34026
37,3800,35736
38,3900,37656
39,4000,39867
40,4100,41986
41,4200,44264
42,4300,45805
43,4400,47719
44,4500,49809
45,4600,52223
46,4700,54496
47,4800,57128
48,4900,57634
49,5000,58238
50,5100,58741
51,5200,59264
52,5300,59856
53,5400,60593
54,5500,61393
55,5600,62291
56,5700,63362
57,5800,64666
58,5900,65968
59,6000,67449
60,6100,68651
61,6200,70057
62,6300,72004
63,6400,74255
64,6500,76172
65,6600,78349
66,6700,79716
67,6800,81117
68,6900,82136
69,7000,83331
70,7100,84736
71,7200,86718
72,7300,87110
73,7400,87752
74,7500,88155
75,7600,88634
76,7700,89442
77,7800,90448
78,7900,91264
79,8000,92238
80,8100,93206
81,8200,94264
82,8300,95364
83,8400,96677
84,8500,97615
85,8600,98627
86,8700,99815
87,8800,101070
88,8900,102127
89,9000,103233
90,9100,103941
91,9200,104827
92,9300,105749
93,9400,107045
94,9500,108554
95,9600,110397
96,9700,110838
97,9800,111413
98,9900,111751
99,10000,112302
100,10100,113097
101,10200,114012
102,10300,115061
103,10400,116257
104,10500,117532
105,10600,118935
106,10700,120437
107,10800,121942
108,10900,122934
109,11000,124500
110,11100,126467
111,11200,128661
112,11300,130495
113,11400,132722
114,11500,134222
115,11600,135984
116,11700,137881
117,11800,140018
118,11900,142642
119,12000,145620
120,12100,146138
121,12200,146873
122,12300,147377
123,12400,148011
124,12500,148741
125,12600,149604
126,12700,150553
127,12800,151750
128,12900,153220
129,13000,155035
130,13100,156940
131,13200,158941
132,13300,160565
133,13400,162564
134,13500,165050
135,13600,167866
136,13700,170048
137,13800,172487
138,13900,173888
139,14000,175411
140,14100,176957
141,14200,178830
142,14300,180878
143,14400,183418
144,14500,183936
145,14600,184578
146,14700,185046
147,14800,185635
148,14900,186437
149,15000,187373
150,15100,188428
151,15200,189691
152,15300,191155
153,15400,192841
154,15500,194643
155,15600,196578
156,15700,198098
157,15800,199973
158,15900,202199
159,16000,204758
160,16100,206877
161,16200,209081
162,16300,210356
163,16400,211744
164,16500,212861
165,16600,214258
166,16700,215920
167,16800,218190
168,16900,218792
169,17000,219627
170,17100,220332
171,17200,221092
172,17300,221990
173,17400,223139
174,17500,224479
175,17600,226086
176,17700,227846
177,17800,229749
178,17900,231704
179,18000,233907
180,18100,235610
181,18200,237810
182,18300,240347
183,18400,243096
184,18500,245589
185,18600,248278
186,18700,250218
187,18800,252557
188,18900,254868
189,19000,257593
190,19100,260437
191,19200,263531
192,19300,264076
193,19400,264950
194,19500,265556
195,19600,266241
196,19700,267199
197,19800,268301
198,19900,269208
199,20000,270352
200,20100,271618
201,20200,272931
202,20300,274335
203,20400,275737
204,20500,276515
205,20600,277696
206,20700,279241
207,20800,280973
208,20900,282623
209,21000,284565
210,21100,286150
211,21200,287959
212,21300,289565
213,21400,291451
214,21500,293709
215,21600,296424
216,21700,297013
217,21800,297614
218,21900,298016
219,22000,298435
220,22100,298913
221,22200,299783
222,22300,300592
223,22400,301632
224,22500,302836
225,22600,304038
226,22700,305297
227,22800,306682
228,22900,307608
229,23000,308781
230,23100,310270
231,23200,312038
232,23300,313979
233,23400,316073
234,23500,317187
235,23600,318551
236,23700,319779
237,23800,321379
238,23900,323391
239,24000,326204
240,24100,326824
241,24200,327565
242,24300,328122
243,24400,328847
244,24500,329504
245,24600,330322
246,24700,331127
247,24800,332007
248,24900,332945
249,25000,334042
250,25100,335444
251,25200,337094
252,25300,338442
253,25400,340088
254,25500,342137
255,25600,344351
256,25700,346606
257,25800,348995
258,25900,350696
259,26000,352584
260,26100,353820
261,26200,355447
262,26300,357156
263,26400,359172
264,26500,359568
265,26600,360191
266,26700,360498
267,26800,360890
268,26900,361583
269,27000,362793
270,27100,364113
271,27200,365605
272,27300,367108
273,27400,368643
274,27500,370337
275,27600,372228
276,27700,373380
277,27800,374786
278,27900,376466
279,28000,378211
280,28100,380117
281,28200,382021
282,28300,383362
283,28400,384834
284,28500,386328
285,28600,388093
286,28700,389837
287,28800,391920
288,28900,392313
289,29000,392879
290,29100,393241
291,29200,393762
292,29300,394341
293,29400,395051
294,29500,395695
295,29600,396633
296,29700,398027
297,29800,399528
298,29900,401068
299,30000,402670
300,30100,404111
301,30200,406040
302,30300,408247
303,30400,410764
304,30500,413131
305,30600,415707
306,30700,417312
307,30800,419122
308,30900,420862
309,31000,422944
310,31100,425305
311,31200,428211
312,31300,429060
313,31400,430122
314,31500,430960
315,31600,431890
316,31700,432878
317,31800,434133
318,31900,435335
319,32000,436698
320,32100,438334
321,32200,440334
322,32300,442438
323,32400,444660
324,32500,446550
325,32600,448867
326,32700,451443
327,32800,454236
328,32900,456444
329,33000,458792
330,33100,460341
331,33200,462380
332,33300,464275
333,33400,466369
334,33500,468231
335,33600,470449
336,33700,470980
337,33800,471658
338,33900,472164
339,34000,472731
340,34100,473634
341,34200,474738
342,34300,475587
343,34400,476543
344,34500,477592
345,34600,478755
346,34700,479992
347,34800,481334
348,34900,482541
349,35000,484075
350,35100,485886
351,35200,488040
352,35300,490168
353,35400,492589
354,35500,494110
355,35600,496199
356,35700,498095
357,35800,500221
358,35900,502614
359,36000,505445
360,36100,506085
361,36200,506847
362,36300,507352
363,36400,507903
364,36500,508954
365,36600,510231
366,36700,511233
367,36800,512547
368,36900,513851
369,37000,515204
370,37100,516755
371,37200,518307
372,37300,519295
373,37400,520391
374,37500,521938
375,37600,523880
376,37700,525864
377,37800,528059
378,37900,529536
379,38000,531333
380,38100,532937
381,38200,534774
382,38300,536745
383,38400,539002
384,38500,539294
385,38600,539706
386,38700,540149
387,38800,540719
388,38900,541584
389,39000,542835
390,39100,544039
391,39200,545400
392,39300,547122
393,39400,549025
394,39500,550929
395,39600,553053
396,39700,554481
397,39800,556147
398,39900,558105
399,40000,560331
