,step_history,vehicle_history
0,100,3
1,200,8
2,300,10
3,400,14
4,500,18
5,600,22
6,700,23
7,800,27
8,900,30
9,1000,31
10,1100,32
11,1200,34
12,1300,37
13,1400,40
14,1500,39
15,1600,43
16,1700,44
17,1800,44
18,1900,44
19,2000,39
20,2100,41
21,2200,46
22,2300,48
23,2400,49
24,2500,47
25,2600,49
26,2700,50
27,2800,54
28,2900,57
29,3000,57
30,3100,54
31,3200,52
32,3300,54
33,3400,57
34,3500,54
35,3600,54
36,3700,56
37,3800,54
38,3900,52
39,4000,50
40,4100,48
41,4200,51
42,4300,52
43,4400,55
44,4500,55
45,4600,53
46,4700,53
47,4800,54
48,4900,56
49,5000,57
50,5100,55
51,5200,51
52,5300,49
53,5400,47
54,5500,48
55,5600,49
56,5700,48
57,5800,45
58,5900,46
59,6000,49
60,6100,46
61,6200,47
62,6300,45
63,6400,49
64,6500,48
65,6600,51
66,6700,48
67,6800,47
68,6900,46
69,7000,40
70,7100,41
71,7200,44
72,7300,45
73,7400,41
74,7500,38
75,7600,39
76,7700,36
77,7800,37
78,7900,42
79,8000,45
80,8100,50
81,8200,50
82,8300,47
83,8400,43
84,8500,35
85,8600,37
86,8700,42
87,8800,45
88,8900,47
89,9000,42
90,9100,44
91,9200,47
92,9300,49
93,9400,49
94,9500,41
95,9600,42
96,9700,43
97,9800,40
98,9900,44
99,10000,44
100,10100,45
101,10200,44
102,10300,45
103,10400,46
104,10500,47
105,10600,43
106,10700,46
107,10800,49
108,10900,44
109,11000,43
110,11100,42
111,11200,43
112,11300,41
113,11400,39
114,11500,41
115,11600,42
116,11700,46
117,11800,47
118,11900,45
119,12000,43
120,12100,44
121,12200,45
122,12300,43
123,12400,42
124,12500,46
125,12600,48
126,12700,52
127,12800,49
128,12900,50
129,13000,48
130,13100,50
131,13200,50
132,13300,54
133,13400,52
134,13500,53
135,13600,55
136,13700,58
137,13800,54
138,13900,55
139,14000,58
140,14100,62
141,14200,67
142,14300,67
143,14400,68
144,14500,66
145,14600,60
146,14700,52
147,14800,54
148,14900,53
149,15000,46
150,15100,46
151,15200,48
152,15300,48
153,15400,48
154,15500,49
155,15600,49
156,15700,46
157,15800,50
158,15900,48
159,16000,46
160,16100,46
161,16200,48
162,16300,45
163,16400,48
164,16500,49
165,16600,46
166,16700,43
167,16800,47
168,16900,52
169,17000,52
170,17100,51
171,17200,53
172,17300,56
173,17400,60
174,17500,68
175,17600,68
176,17700,66
177,17800,59
178,17900,61
179,18000,63
180,18100,63
181,18200,66
182,18300,57
183,18400,59
184,18500,59
185,18600,55
186,18700,56
187,18800,62
188,18900,61
189,19000,57
190,19100,57
191,19200,59
192,19300,51
193,19400,50
194,19500,50
195,19600,53
196,19700,51
197,19800,46
198,19900,47
199,20000,44
200,20100,44
201,20200,43
202,20300,46
203,20400,46
204,20500,44
205,20600,42
206,20700,45
207,20800,44
208,20900,39
209,21000,41
210,21100,48
211,21200,49
212,21300,51
213,21400,52
214,21500,51
215,21600,45
216,21700,46
217,21800,47
218,21900,47
219,22000,46
220,22100,45
221,22200,44
222,22300,47
223,22400,46
224,22500,48
225,22600,47
226,22700,47
227,22800,41
228,22900,43
229,23000,47
230,23100,49
231,23200,53
232,23300,54
233,23400,53
234,23500,54
235,23600,52
236,23700,53
237,23800,52
238,23900,53
239,24000,56
240,24100,55
241,24200,51
242,24300,49
243,24400,51
244,24500,53
245,24600,43
246,24700,45
247,24800,45
248,24900,43
249,25000,39
250,25100,41
251,25200,41
252,25300,34
253,25400,33
254,25500,37
255,25600,38
256,25700,41
257,25800,40
258,25900,41
259,26000,43
260,26100,49
261,26200,51
262,26300,54
263,26400,52
264,26500,50
265,26600,50
266,26700,49
267,26800,46
268,26900,47
269,27000,50
270,27100,49
271,27200,51
272,27300,51
273,27400,49
274,27500,50
275,27600,44
276,27700,41
277,27800,40
278,27900,36
279,28000,34
280,28100,38
281,28200,39
282,28300,39
283,28400,40
284,28500,42
285,28600,42
286,28700,44
287,28800,41
288,28900,41
289,29000,39
290,29100,39
291,29200,39
292,29300,39
293,29400,42
294,29500,44
295,29600,45
296,29700,46
297,29800,45
298,29900,49
299,30000,46
300,30100,46
301,30200,48
302,30300,50
303,30400,52
304,30500,47
305,30600,47
306,30700,42
307,30800,43
308,30900,46
309,31000,46
310,31100,45
311,31200,39
312,31300,39
313,31400,42
314,31500,39
315,31600,39
316,31700,39
317,31800,39
318,31900,40
319,32000,44
320,32100,45
321,32200,48
322,32300,46
323,32400,43
324,32500,46
325,32600,49
326,32700,47
327,32800,44
328,32900,45
329,33000,47
330,33100,51
331,33200,51
332,33300,48
333,33400,44
334,33500,45
335,33600,49
336,33700,49
337,33800,50
338,33900,52
339,34000,55
340,34100,53
341,34200,50
342,34300,51
343,34400,49
344,34500,50
345,34600,44
346,34700,46
347,34800,47
348,34900,49
349,35000,52
350,35100,57
351,35200,59
352,35300,58
353,35400,60
354,35500,62
355,35600,57
356,35700,59
357,35800,57
358,35900,51
359,36000,50
360,36100,54
361,36200,56
362,36300,56
363,36400,56
364,36500,53
365,36600,49
366,36700,48
367,36800,49
368,36900,47
369,37000,42
370,37100,42
371,37200,37
372,37300,37
373,37400,36
374,37500,40
375,37600,43
376,37700,49
377,37800,50
378,37900,49
379,38000,44
380,38100,45
381,38200,46
382,38300,48
383,38400,45
384,38500,43
385,38600,47
386,38700,47
387,38800,44
388,38900,43
389,39000,49
390,39100,49
391,39200,51
392,39300,52
393,39400,51
394,39500,47
395,39600,48
396,39700,50
397,39800,53
398,39900,54
399,40000,59
